貴店への流入フリーワードランキング
順位,フリーワード,流入割合,同中エリア
1,ネネチキン,18.9%,1,
2,ネネチキン東岡崎,10.0%,1,
3,東岡崎,7.8%,84,
4,韓国,6.7%,13,
4,岡崎,6.7%,216,
6,ポックンパ,5.6%,1,
7,ランチ,4.4%,224,
8,韓国屋台ポックンパ,3.3%,1,
9,席押さえ対象店舗 岡崎,2.2%,2,
9,テイクアウト,2.2%,19,
9,KOREANA KITCHEN,2.2%,1,
12,名駅,1.1%,9,
12,東岡崎駅前,1.1%,29,
12,東岡崎駅,1.1%,79,
12,東岡崎ネネチキン,1.1%,1,
12,東岡崎　居酒屋,1.1%,11,
12,東岡崎 食べ飲み,1.1%,17,
12,東岡崎 女子会,1.1%,1,
12,東岡崎 ランチ,1.1%,2,
12,昼飲み,1.1%,31,
12,食べ飲み放題,1.1%,64,
12,参鶏湯 愛知岡崎,1.1%,1,
12,居酒屋,1.1%,149,
12,韓国料理 東岡崎,1.1%,1,
12,韓国料理,1.1%,10,
12,岡崎市,1.1%,59,
12,岡崎駅,1.1%,68,
12,岡崎イオンモール,1.1%,17,
12,岡崎 ランチ,1.1%,86,
12,岡崎 テイクアウト,1.1%,3,
12,岡崎  スイーツ ランチ,1.1%,5,
12,ポイントつかえる,1.1%,9,
12,フィンガーチキン,1.1%,1,
12,ハッピーアワー,1.1%,3,
12,ネネチキン 東岡崎,1.1%,1,
12,サムギョプサル,1.1%,6,
12,とんかつ,1.1%,3,
12,Nene chicken ,1.1%,1,

周辺エリア（中エリア）フリーワードランキング
順位,フリーワード,
1,刈谷
2,刈谷駅
3,岡崎
4,個室
5,東岡崎
6,ランチ
7,焼肉
8,知立
9,安城
10,知立駅
11,居酒屋
12,東岡崎駅
13,個室あり
14,蒲郡
15,飲み放題
16,刈谷駅完全個室
17,焼き鳥
18,岡崎駅
19,鳥貴族
20,岡崎市
