貴店への流入フリーワードランキング
順位,フリーワード,流入割合,同中エリア
1,東岡崎,40.8%,82,
2,ネネチキン,9.2%,1,
3,東岡崎駅,7.9%,67,
3,韓国料理,7.9%,10,
3,ネネチキン東岡崎,7.9%,1,
6,韓国料理全般,3.9%,4,
7,韓国料理 岡崎,2.6%,8,
7,韓国,2.6%,9,
9,東岡崎 ネネチキン,1.3%,1,
9,韓国料理　岡崎,1.3%,2,
9,韓国料理 愛知,1.3%,3,
9,刈谷,1.3%,167,
9,岡崎駅,1.3%,77,
9,岡崎　韓国,1.3%,1,
9,岡崎 韓国料理,1.3%,4,
9,岡崎 韓国,1.3%,3,
9,テイクアウト 東岡崎,1.3%,5,
9,サムギョプサル,1.3%,5,
9,ねねちき,1.3%,1,
9,かき 岡崎,1.3%,1,
9,Nene chicken,1.3%,1,

周辺エリア（中エリア）フリーワードランキング
順位,フリーワード,
1,刈谷駅
2,刈谷
3,串家物語
4,東岡崎
5,岡崎
6,知立
7,安城
8,知立駅
9,焼肉
10,東岡崎駅
11,岡崎駅
12,ランチ
13,個室
14,焼き鳥
15,鳥貴族
16,三河安城
17,居酒屋
18,安城駅
19,串家
20,あみやき亭
