貴店への流入フリーワードランキング
順位,フリーワード,流入割合,同中エリア
1,ネネチキン,18.0%,1,
2,ネネチキン東岡崎,13.9%,1,
3,東岡崎,8.2%,79,
4,岡崎,5.7%,209,
5,韓国,4.9%,13,
5,ポックンパ,4.9%,1,
7,ランチ,4.1%,170,
7,ポックンパ岡崎,4.1%,1,
9,韓国料理 岡崎,3.3%,5,
10,東岡崎ネネチキン,2.5%,1,
10,韓国料理,2.5%,12,
10,岡崎 ランチ,2.5%,49,
13,個室,1.6%,123,
13,韓国屋台ポックンパ,1.6%,1,
13,岡崎駅,1.6%,56,
13,岡崎 韓国料理,1.6%,8,
17,名駅,0.8%,4,
17,東岡崎駅居酒屋,0.8%,15,
17,東岡崎　女子会,0.8%,7,
17,東岡崎　居酒屋,0.8%,11,
17,東岡崎　韓国,0.8%,1,
17,東岡崎 バー,0.8%,4,
17,東岡崎 いもんちゅ,0.8%,1,
17,天ぷら酒場KITSUNE 東岡崎店,0.8%,1,
17,焼き鳥,0.8%,94,
17,韓国料理 東岡崎,0.8%,1,
17,韓国料理 三河,0.8%,4,
17,韓国屋台ポックンパ ネネチキン 東岡崎店,0.8%,1,
17,岡崎　ランチ,0.8%,8,
17,煙力,0.8%,13,
17,安城 韓国料理,0.8%,6,
17,ランチ バイキング,0.8%,7,
17,ポイントつかえる,0.8%,18,
17,パニックポット 東岡崎,0.8%,1,
17,バースデープレート,0.8%,41,
17,ノーブル,0.8%,5,
17,チュモッパ,0.8%,5,
17,チーズ,0.8%,4,
17,UFOチキン,0.8%,2,

周辺エリア（中エリア）フリーワードランキング
順位,フリーワード,
1,刈谷駅
2,刈谷
3,東岡崎
4,岡崎
5,焼肉
6,安城
7,知立
8,ランチ
9,知立駅
10,居酒屋
11,東岡崎駅
12,個室
12,刈谷駅完全個室
14,焼き鳥
15,岡崎駅
16,あみやき亭
17,鳥貴族
17,蒲郡
19,焼肉きんぐ
20,飲み放題
