曜日,対象週売上,過去4週平均売上,売上差,対象週客数,過去4週平均客数,客数差,対象週1人単価,過去4週平均1人単価,1人単価差,客数要因寄与,客単価要因寄与,検算
月,331320.0,127927.5,203392.5,45,35.25,9.75,7362.666666666667,3705.8362849713058,3656.830381695361,53958.95188923512,146730.31906552636,200689.27095476148
火,495700.0,147850.0,347850.0,48,32.25,15.75,10327.083333333334,4583.1359649122805,5743.947368421053,117417.97697368421,230475.88815789478,347893.865131579
水,113700.0,170567.5,-56867.5,15,32.0,-17.0,7580.0,5121.064424705729,2458.935575294271,-107959.04760999868,57784.98601941537,-50174.06159058331
木,448700.0,117017.5,331682.5,57,30.5,26.5,7871.929824561404,3952.584839714138,3919.3449848472656,156674.81930165095,171471.34308706786,328146.1623887188
金,315790.0,205260.0,110530.0,42,43.0,-1.0,7518.809523809524,4703.360235235235,2815.4492885742884,-6111.084879522379,119656.59476440726,113545.50988488487
土,439870.0,316575.0,123295.0,62,50.0,12.0,7094.677419354839,6449.050322226793,645.6270971280464,81262.36644948978,36155.1174391706,117417.48388866038
日,503730.0,203080.0,300650.0,48,37.5,10.5,10494.375,5551.184232660456,4943.190767339544,84239.18597146739,211321.40530376552,295560.5912752329
