"H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.商品","D.サブメニュー","D.価格","D.数量","D.オーダー日時","D.オーダーステータス"
"2026/03/30","月","2026/03/30 12:48:35","2026/03/30 13:15:45","2","3600","2","ランチ","ランチ","00000004031:とんかつ定食","並盛x1","1800","1","2026/03/30 12:48:35","20:配膳済"
"2026/03/30","月","2026/03/30 12:48:35","2026/03/30 13:15:45","2","3600","2","ランチ","ランチ","00000004029:カキフライ定食","並盛x1","1800","1","2026/03/30 12:48:35","20:配膳済"
"2026/03/30","月","2026/03/30 12:53:42","2026/03/30 13:14:00","1","1100","1","ランチ","ランチ","00000004027:とり天定食","明太マヨx1 / 大盛りx1","1100","1","2026/03/30 12:55:00","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","フード","お通し","00000004006:お通し","","660","1","2026/03/30 17:32:41","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","フード","お通し","00000004006:お通し","","660","1","2026/03/30 17:32:41","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","ドリンク","サワー","00000003230:自家製レモンサワー","普通x1","900","1","2026/03/30 18:07:14","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","ドリンク","サワー","00000003230:自家製レモンサワー","普通x1","900","1","2026/03/30 18:07:14","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","フード","おすすめ","00000004261:山菜の天ぷら","","770","1","2026/03/30 18:17:54","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","フード","おすすめ","00000003817:馬刺し","","1540","1","2026/03/30 18:17:54","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","ドリンク","サワー","00000003230:自家製レモンサワー","普通x1","900","1","2026/03/30 18:32:53","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","ドリンク","サワー","00000003230:自家製レモンサワー","普通x1","900","1","2026/03/30 18:32:53","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","フード","おすすめ","00000004014:鰻ざく","","1200","1","2026/03/30 18:42:23","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","フード","おすすめ","00000004014:鰻ざく","","1200","1","2026/03/30 18:42:23","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","ドリンク","サワー","00000003230:自家製レモンサワー","普通x1","900","1","2026/03/30 19:02:12","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","ドリンク","サワー","00000003230:自家製レモンサワー","普通x1","900","1","2026/03/30 19:02:12","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","フード","鰻料理","00000002555:うな重 梅","並盛x1","4200","1","2026/03/30 19:26:51","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","フード","鰻料理","00000000288:ﾊｰﾌうなぎ白焼き","","3600","1","2026/03/30 19:27:05","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","ドリンク","サワー","00000003230:自家製レモンサワー","普通x1","900","1","2026/03/30 19:39:30","20:配膳済"
"2026/03/30","月","2026/03/30 17:32:37","2026/03/30 20:15:37","2","21030","16","ドリンク","サワー","00000003230:自家製レモンサワー","普通x1","900","1","2026/03/30 19:39:30","20:配膳済"
"2026/03/30","月","2026/03/30 18:45:11","2026/03/30 20:01:33","0","6900","1","ロケットナウ","鰻料理","00000003687:ロケットうな重松","","6900","1","2026/03/30 18:45:11","20:配膳済"
"2026/03/30","月","2026/03/30 19:31:52","2026/03/30 20:01:41","0","1500","1","ロケットナウ","お弁当","00000003825:ロケットサバの一夜干し弁当","","1500","1","2026/03/30 19:31:52","20:配膳済"
"2026/03/30","月","2026/03/30 19:42:53","2026/03/30 20:01:49","0","1400","2","ロケットナウ","お弁当","00000003686:ロケット生姜焼き弁当","","1200","1","2026/03/30 19:42:53","20:配膳済"
"2026/03/30","月","2026/03/30 19:42:53","2026/03/30 20:01:49","0","1400","2","ロケットナウ","鰻料理","00000003694:ロケット大盛り","","200","1","2026/03/30 19:42:53","20:配膳済"
"2026/03/30","月","2026/03/30 20:35:09","2026/03/30 20:35:42","0","5150","3","ウーバーイーツ","鰻料理","00000004086:uberうな重梅","","4400","1","2026/03/30 20:35:20","20:配膳済"
"2026/03/30","月","2026/03/30 20:35:09","2026/03/30 20:35:42","0","5150","3","ウーバーイーツ","鰻料理","00000004090:uber肝焼き","","750","1","2026/03/30 20:35:20","20:配膳済"
"2026/03/30","月","2026/03/30 20:35:09","2026/03/30 20:35:42","0","5150","3","ウーバーイーツ","鰻料理","00000004091:uber肝焼きプロモーション","","0","1","2026/03/30 20:35:20","20:配膳済"
"2026/03/30","月","2026/03/30 20:43:04","2026/03/30 20:43:22","0","6300","2","ウーバーイーツ","鰻料理","00000004086:uberうな重梅","","4400","1","2026/03/30 20:43:14","20:配膳済"
"2026/03/30","月","2026/03/30 20:43:04","2026/03/30 20:43:22","0","6300","2","ウーバーイーツ","サラダ","00000004096:uber大和芋のとろろサラダ","","1900","1","2026/03/30 20:43:14","20:配膳済"
"2026/03/31","火","2026/03/31 11:31:28","2026/03/31 11:51:26","1","1200","1","ランチ","ランチ","00000003135:チキン南蛮定食","並盛x1","1200","1","2026/03/31 11:31:46","20:配膳済"
"2026/03/31","火","2026/03/31 11:35:56","2026/03/31 12:06:59","3","4280","5","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 大盛りx1","1100","1","2026/03/31 11:37:37","20:配膳済"
"2026/03/31","火","2026/03/31 11:35:56","2026/03/31 12:06:59","3","4280","5","ランチ","ランチ","00000004028:しょうが焼き定食","少なめx1","1200","1","2026/03/31 11:37:37","20:配膳済"
"2026/03/31","火","2026/03/31 11:35:56","2026/03/31 12:06:59","3","4280","5","ランチ","ランチ","00000004034:穴子天丼定食","大盛りx1","1500","1","2026/03/31 11:37:37","20:配膳済"
"2026/03/31","火","2026/03/31 11:35:56","2026/03/31 12:06:59","3","4280","5","ランチ","サイドメニュー","00000004042:納豆","","150","1","2026/03/31 11:37:37","20:配膳済"
"2026/03/31","火","2026/03/31 11:35:56","2026/03/31 12:06:59","3","4280","5","ランチ","サイドメニュー","00000004044:サラダ","","330","1","2026/03/31 11:37:37","20:配膳済"
"2026/03/31","火","2026/03/31 11:38:01","2026/03/31 12:25:49","4","4700","4","ランチ","ランチ","00000001786:サバ定食","大盛りx1","1200","1","2026/03/31 11:39:10","20:配膳済"
"2026/03/31","火","2026/03/31 11:38:01","2026/03/31 12:25:49","4","4700","4","ランチ","ランチ","00000001786:サバ定食","大盛りx1","1200","1","2026/03/31 11:39:10","20:配膳済"
"2026/03/31","火","2026/03/31 11:38:01","2026/03/31 12:25:49","4","4700","4","ランチ","ランチ","00000004027:とり天定食","おろしソースx1 / 並盛x1","1100","1","2026/03/31 11:39:10","20:配膳済"
"2026/03/31","火","2026/03/31 11:38:01","2026/03/31 12:25:49","4","4700","4","ランチ","ランチ","00000003135:チキン南蛮定食","大盛りx1","1200","1","2026/03/31 11:39:10","20:配膳済"
