"H.伝票番号","H.集計対象営業年月日","H.曜日","H.伝票発行日","H.伝票処理日","H.客数（合計）","H.小計","H.総商品数","D.商品カテゴリ1","D.商品カテゴリ2","D.サブメニュー","D.価格","D.オーダー日時","D.数量","D.オーダーステータス","D.商品"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","フード","お通し","","660","2026/02/16 19:20:18","1","20:配膳済","00000004006:お通し"
"No:202500100007291","2026/02/16","月","2026/02/16 18:19:20","2026/02/16 19:22:02","2","17180","13","フード","お通し","","660","2026/02/16 19:20:18","1","20:配膳済","00000004006:お通し"
"No:202500100007292","2026/02/16","月","2026/02/16 19:11:23","2026/02/16 20:45:51","0","1200","1","ロケットナウ","お弁当","","1200","2026/02/16 19:11:23","1","20:配膳済","00000003686:ロケット生姜焼き弁当"
"No:202500100007293","2026/02/16","月","2026/02/16 19:20:07","2026/02/16 20:46:02","0","4400","1","ウーバーイーツ","鰻料理","","4400","2026/02/16 19:20:07","1","20:配膳済","00000004086:uberうな重梅"
"No:202500100007294","2026/02/16","月","2026/02/16 20:06:11","2026/02/16 20:46:12","0","6300","2","ウーバーイーツ","鰻料理","","4400","2026/02/16 20:06:11","1","20:配膳済","00000004086:uberうな重梅"
"No:202500100007294","2026/02/16","月","2026/02/16 20:06:11","2026/02/16 20:46:12","0","6300","2","ウーバーイーツ","サラダ","","1900","2026/02/16 20:06:11","1","20:配膳済","00000004096:uber大和芋のとろろサラダ"
"No:202500100007295","2026/02/16","月","2026/02/16 20:12:38","2026/02/16 20:46:23","0","1200","1","ロケットナウ","お弁当","おろしソースx1 / 並盛x1","1200","2026/02/16 20:12:38","1","20:配膳済","00000003826:ロケットとり天弁当"
"No:202500100007296","2026/02/16","月","2026/02/16 20:34:47","2026/02/16 20:46:34","0","9810","4","ウーバーイーツ","鰻料理","","3430","2026/02/16 20:34:47","1","20:配膳済","00000004189:梅肝重30％オフ"
"No:202500100007296","2026/02/16","月","2026/02/16 20:34:47","2026/02/16 20:46:34","0","9810","4","ウーバーイーツ","鰻料理","","3430","2026/02/16 20:34:47","1","20:配膳済","00000004189:梅肝重30％オフ"
"No:202500100007296","2026/02/16","月","2026/02/16 20:34:47","2026/02/16 20:46:34","0","9810","4","ウーバーイーツ","サラダ","","1900","2026/02/16 20:34:47","1","20:配膳済","00000004096:uber大和芋のとろろサラダ"
"No:202500100007296","2026/02/16","月","2026/02/16 20:34:47","2026/02/16 20:46:34","0","9810","4","ウーバーイーツ","揚げ物","","1050","2026/02/16 20:34:47","1","20:配膳済","00000004191:唐揚げ30％オフ"
"No:202500100007297","2026/02/16","月","2026/02/16 21:01:58","2026/02/16 21:38:29","0","10460","8","ウーバーイーツ","鰻料理","","3430","2026/02/16 21:01:58","1","20:配膳済","00000004189:梅肝重30％オフ"
"No:202500100007297","2026/02/16","月","2026/02/16 21:01:58","2026/02/16 21:38:29","0","10460","8","ウーバーイーツ","鰻料理","","3430","2026/02/16 21:01:58","1","20:配膳済","00000004189:梅肝重30％オフ"
"No:202500100007297","2026/02/16","月","2026/02/16 21:01:58","2026/02/16 21:38:29","0","10460","8","ウーバーイーツ","鰻料理","","750","2026/02/16 21:01:58","1","20:配膳済","00000004090:uber肝焼き"
"No:202500100007297","2026/02/16","月","2026/02/16 21:01:58","2026/02/16 21:38:29","0","10460","8","ウーバーイーツ","鰻料理","","750","2026/02/16 21:01:58","1","20:配膳済","00000004090:uber肝焼き"
"No:202500100007297","2026/02/16","月","2026/02/16 21:01:58","2026/02/16 21:38:29","0","10460","8","ウーバーイーツ","鰻料理","","0","2026/02/16 21:01:58","1","20:配膳済","00000004091:uber肝焼きプロモーション"
"No:202500100007297","2026/02/16","月","2026/02/16 21:01:58","2026/02/16 21:38:29","0","10460","8","ウーバーイーツ","鰻料理","","0","2026/02/16 21:01:58","1","20:配膳済","00000004091:uber肝焼きプロモーション"
"No:202500100007297","2026/02/16","月","2026/02/16 21:01:58","2026/02/16 21:38:29","0","10460","8","ウーバーイーツ","揚げ物","","1050","2026/02/16 21:01:58","1","20:配膳済","00000004191:唐揚げ30％オフ"
