店舗ID,店舗名,会計ID,レシートNo,テーブル,媒体,営業日,来店日時,会計日時,人数,チェックイン人数,小計,割増計,割引計,合計,消費税合計,税率10%対象額,税率10%消費税額,税率8%対象額,税率8%消費税額,非課税対象額,不課税対象額,預り金,お釣り,修正履歴
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72264064,12619,3,食べログ,2026/02/16,2026/02/16 16:56:18,2026/02/16 20:04:14,3,0,25640,0,0,25640,2330,25640,2330,0,0,0,0,25640,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72294732,12620,23,食べログ,2026/02/16,2026/02/16 20:34:05,2026/02/16 22:24:43,2,0,5720,0,0,5720,520,5720,520,0,0,0,0,5720,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72374455,12621,3,ヒトサラ,2026/02/17,2026/02/17 18:09:38,2026/02/17 20:20:58,3,0,19440,0,0,19440,1767,19440,1767,0,0,0,0,19440,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72378672,12622,"6,5",食べログ,2026/02/17,2026/02/17 17:55:49,2026/02/17 20:37:58,5,3,27400,0,0,27400,2490,27400,2490,0,0,0,0,27400,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72383398,12623,12,フリー,2026/02/17,2026/02/17 18:09:56,2026/02/17 20:55:55,2,0,12960,0,0,12960,1178,12960,1178,0,0,0,0,12960,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72386158,12624,2,一休,2026/02/17,2026/02/17 18:09:28,2026/02/17 21:06:01,2,0,15960,0,0,15960,1450,15960,1450,0,0,0,0,15960,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72397177,12625,4,一休,2026/02/17,2026/02/17 18:09:45,2026/02/17 21:52:00,2,1,10960,0,0,10960,996,10960,996,0,0,0,0,10960,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72481261,12626,6,食べログ,2026/02/18,2026/02/18 18:03:10,2026/02/18 19:47:20,2,1,15920,0,0,15920,1447,15920,1447,0,0,0,0,15920,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72488109,12627,1,食べログ,2026/02/18,2026/02/18 18:26:25,2026/02/18 20:15:21,2,1,12960,0,0,12960,1178,12960,1178,0,0,0,0,12960,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72488920,12628,4,食べログ,2026/02/18,2026/02/18 17:05:24,2026/02/18 20:18:21,3,0,23940,0,0,23940,2176,23940,2176,0,0,0,0,23940,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72494737,12629,9,食べログ,2026/02/18,2026/02/18 19:22:47,2026/02/18 20:39:35,3,1,18130,0,0,18130,1648,18130,1648,0,0,0,0,18130,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72505293,12630,2,食べログ,2026/02/18,2026/02/18 18:44:48,2026/02/18 21:18:16,2,0,23940,0,0,23940,2176,23940,2176,0,0,0,0,23940,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72511798,12631,23,食べログ,2026/02/18,2026/02/18 20:21:06,2026/02/18 21:44:28,2,0,13710,0,0,13710,1246,13710,1246,0,0,0,0,13710,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72524647,12632,3,一休,2026/02/18,2026/02/18 18:30:11,2026/02/18 22:44:23,4,0,30760,0,0,30760,2796,30760,2796,0,0,0,0,30760,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72604911,12633,"7,16,17,18,8",食べログ,2026/02/19,2026/02/19 17:36:04,2026/02/19 20:19:47,5,2,32400,0,0,32400,2945,32400,2945,0,0,0,0,32400,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72607540,12634,23,食べログ,2026/02/19,2026/02/19 19:10:10,2026/02/19 20:30:01,2,0,12960,0,0,12960,1178,12960,1178,0,0,0,0,12960,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72609822,12635,"12,13",食べログ,2026/02/19,2026/02/19 18:55:35,2026/02/19 20:38:42,2,0,17780,0,0,17780,1616,17780,1616,0,0,0,0,17780,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72611432,12636,6,一休,2026/02/19,2026/02/19 17:25:06,2026/02/19 20:44:46,2,1,12960,0,0,12960,1178,12960,1178,0,0,0,0,12960,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72614357,12637,3,食べログ,2026/02/19,2026/02/19 18:52:37,2026/02/19 20:55:27,4,1,46630,0,0,46630,4239,46630,4239,0,0,0,0,46630,0,
7fe37e09-6e00-4127-93e8-673498198392,別天地 銀座,72628548,12638,1,食べログ,2026/02/19,2026/02/19 18:23:09,2026/02/19 21:50:14,2,2,10960,0,0,10960,996,10960,996,0,0,0,0,10960,0,
