集計期間,売上,会計数,会計単価,客数,客単価,商品数,現金支払合計額,現金その他支払合計額,割引額
20250430,77174,9,8574,18,4287,153,44262,32912,0
20250501,133991,10,13399,29,4620,305,65417,68574,0
20250502,277682,24,11570,77,3606,657,177328,100354,0
20250503,245355,27,9087,64,3833,535,125543,119812,0
20250504,355880,35,10168,92,3868,833,170442,185438,0
20250505,251090,28,8967,67,3747,589,141552,109538,0
20250506,204570,14,14612,45,4546,448,97984,106586,0
20250507,54857,7,7836,9,6095,90,40612,14245,0
20250508,115522,11,10502,25,4620,225,76945,38577,0
20250509,372881,10,37288,77,4842,488,165428,207453,0
20250510,242553,20,12127,61,3976,480,152199,90354,0
20250511,138413,10,13841,29,4772,324,94622,43791,0
20250512,102289,8,12786,25,4091,232,83083,19206,0
20250513,213171,13,16397,54,3947,396,48719,164452,0
20250514,104589,6,17431,24,4357,228,42120,62469,0
20250515,220028,10,22002,48,4583,420,69234,150794,0
20250516,359259,11,32659,69,5206,472,65961,293298,0
20250517,242182,16,15136,60,4036,560,146823,95359,-8954
20250518,204515,12,17042,43,4756,298,85129,119386,0
20250519,90739,7,12962,19,4775,229,69333,21406,0
20250520,84194,7,12027,18,4677,198,38467,45727,0
20250521,199630,15,13308,40,4990,352,75889,123741,0
20250522,159192,9,17688,32,4974,315,21725,137467,0
20250523,352623,20,17631,81,4353,551,238071,114552,0
20250524,239246,21,11392,55,4349,510,149464,89782,0
20250525,176484,15,11765,33,5348,325,125455,51029,0
20250526,205905,13,15838,44,4679,374,55066,150839,0
20250527,70682,7,10097,18,3926,157,25461,45221,0
20250528,233104,13,17931,47,4959,518,105303,127801,0
20250529,146355,12,12196,33,4435,356,97449,48906,0
20250530,378119,10,37811,69,5479,641,192891,185228,0
20250531,325752,22,14806,62,5254,638,236443,89309,0
20250601,65835,5,13167,12,5486,152,35398,30437,0
20250602,162965,9,18107,36,4526,302,43560,119405,0
20250603,161381,13,12413,33,4890,350,93775,67606,0
20250604,155328,12,12944,38,4087,306,24387,130941,0
20250605,139722,9,15524,26,5373,341,27159,112563,0
20250606,426481,20,21324,91,4686,719,273571,152910,0
20250607,316997,23,13782,67,4731,625,219317,97680,0
20250608,127754,8,15969,27,4731,170,114169,13585,0
20250609,60386,5,12077,11,5489,139,17182,43204,0
20250610,100265,11,9115,26,3856,213,26532,73733,0
20250611,115069,9,12785,26,4425,232,67001,48068,0
20250612,174218,10,17421,36,4839,363,137159,37059,0
20250613,542674,20,27133,99,5481,766,121859,420815,0
20250614,281966,23,12259,69,4086,631,190248,91718,0
20250615,133906,13,10300,30,4463,272,93646,40260,0
20250616,95796,9,10644,18,5322,185,66448,29348,0
20250617,130537,14,9324,33,3955,292,69828,60709,0
20250618,184525,17,10854,39,4731,399,76230,108295,0
20250619,139425,13,10725,35,3983,292,72413,67012,0
20250620,388290,23,16882,110,3529,624,261110,127180,0
20250621,352685,18,19593,76,4640,601,277966,74719,0
20250622,186717,16,11669,48,3889,440,161349,25368,0
20250624,237413,16,14838,52,4565,518,105468,131945,0
20250625,104610,7,14944,21,4981,224,52393,52217,0
20250626,161007,11,14637,32,5031,370,90937,70070,0
20250627,390058,20,19502,81,4815,754,199371,190687,0
20250628,491231,21,23391,106,4634,886,460486,30745,0
20250629,108247,13,8326,27,4009,221,97368,10879,0
20250630,68893,6,11482,13,5299,128,51920,16973,0
20250701,146410,12,12200,31,4722,321,92301,54109,0
20250702,97251,7,13893,20,4862,230,71192,26059,0
20250703,91784,8,11473,20,4589,192,64482,27302,0
20250704,441685,20,22084,96,4600,709,131742,309943,0
20250705,311806,29,10751,85,3668,697,154319,157487,0
20250706,135003,15,9000,41,3292,320,64273,70730,0
20250707,118239,12,9853,30,3941,254,77209,41030,0
20250708,132099,13,10161,32,4128,299,78749,53350,0
20250709,167728,16,10483,43,3900,355,104511,63217,0
20250710,161073,13,12390,36,4474,387,77759,83314,0
20250711,448078,17,26357,100,4480,679,278649,169429,0
20250712,196306,23,8535,62,3166,455,81180,115126,0
20250713,116380,15,7758,34,3422,244,78771,37609,0
20250714,323677,14,23119,71,4558,632,260724,62953,0
20250715,114435,12,9536,30,3814,223,75473,38962,0
20250716,254582,10,25458,51,4991,308,51799,202783,0
20250717,159482,11,14498,34,4690,273,79138,80344,0
20250718,469685,19,24720,98,4792,833,417875,51810,0
20250719,316360,36,8787,86,3678,723,164890,151470,0
20250720,373621,24,15567,79,4729,726,218686,154935,0
20250721,177298,14,12664,35,5065,380,135113,42185,0
20250723,95304,8,11913,19,5016,191,39061,56243,0
20250724,124960,11,11360,32,3905,282,51073,73887,0
20250725,484260,19,25487,99,4891,685,344016,140244,0
20250726,268818,25,10752,64,4200,614,192060,76758,0
20250727,118305,15,7887,30,3943,263,56309,61996,0
20250728,194077,11,17643,42,4620,443,36685,157392,0
20250729,166936,15,11129,41,4071,414,101772,65164,0
20250730,239453,14,17103,49,4886,472,133757,105696,0
20250731,150129,9,16681,34,4415,246,12353,137776,0
20250801,420502,16,26281,82,5128,696,281599,138903,0
20250802,232397,17,13670,52,4469,561,126236,106161,0
20250803,124212,19,6537,38,3268,275,60280,63932,0
20250804,168960,15,11264,48,3520,384,57442,111518,0
20250805,127116,14,9079,31,4100,290,89034,38082,0
20250806,114576,9,12730,35,3273,242,73513,41063,0
20250807,139117,10,13911,37,3759,304,18117,121000,0
20250808,453244,27,16786,101,4487,874,392513,60731,0
20250809,367180,29,12661,98,3746,789,269258,97922,0
20250810,301358,22,13698,64,4708,621,246135,55223,0
20250811,224422,22,10201,54,4155,532,139227,85195,0
20250812,277093,20,13854,60,4618,595,149201,127892,0
20250813,339460,19,17866,77,4408,773,266750,72710,0
20250814,208186,17,12246,54,3855,491,115016,93170,0
20250815,321487,29,11085,89,3612,670,119141,202346,0
20250816,171545,17,10090,39,4398,376,88396,83149,0
20250817,134563,12,11213,33,4077,312,93335,41228,0
20250818,202983,16,12686,49,4142,396,71374,131609,0
20250819,159709,14,11407,37,4316,384,83721,75988,0
20250820,181791,13,13983,36,5049,368,80784,101007,0
20250821,198671,9,22074,37,5369,384,84843,113828,0
