business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1609594,27,149,59614.59259259259,その他
7,98990,2,6,49495.0,その他
19,147400,17,13,8670.588235294117,18-20時
20,8010305,1025,579,7814.931707317073,20-22時
21,7529955,983,680,7660.178026449644,20-22時
22,3566980,264,353,13511.287878787878,22-24時
23,1471518,3,138,490506.0,22-24時
24,1802515,1,156,1802515.0,24-26時
25,4805525,109,335,44087.38532110092,24-26時
26,18303966,853,890,21458.342321219225,その他
27,19628122,995,953,19726.755778894472,その他
28,12967542,630,793,20583.4,その他
29,6213435,185,443,33586.13513513513,その他
