year_week,売上,客数,組数,客単価
2025-W09,355040,14,32,25360.0
2025-W10,1146564,98,87,11699.632653061224
2025-W11,1338730,102,80,13124.803921568628
2025-W12,1242295,103,81,12061.116504854368
2025-W13,1047825,71,77,14758.098591549297
2025-W14,1272223,91,78,13980.472527472528
2025-W15,1736770,119,93,14594.70588235294
2025-W16,1398430,92,83,15200.326086956522
2025-W17,1392725,89,93,15648.595505617977
2025-W18,1686380,125,111,13491.04
2025-W19,1543845,94,103,16423.882978723403
2025-W20,1517680,113,97,13430.79646017699
2025-W21,1582515,87,96,18189.827586206895
2025-W22,1381500,102,98,13544.117647058823
2025-W23,1325120,101,80,13120.0
2025-W24,1888997,110,97,17172.7
2025-W25,2013804,120,121,16781.7
2025-W26,2136855,107,116,19970.607476635512
2025-W27,1879536,112,123,16781.571428571428
2025-W28,2359187,135,120,17475.45925925926
2025-W29,3666372,174,230,21071.103448275862
2025-W30,2649605,152,183,17431.611842105263
2025-W31,2198670,132,136,16656.590909090908
2025-W32,2096000,113,119,18548.672566371682
2025-W33,1728295,106,126,16304.669811320755
2025-W34,1661820,95,117,17492.842105263157
2025-W35,1570510,87,90,18051.83908045977
2025-W36,1588470,86,87,18470.581395348836
2025-W37,1418115,104,84,13635.721153846154
2025-W38,1214079,83,84,14627.4578313253
2025-W39,1603040,89,98,18011.685393258427
2025-W40,1559177,93,86,16765.344086021505
2025-W41,1254515,81,88,15487.839506172839
2025-W42,1250229,68,101,18385.720588235294
2025-W43,1217655,89,72,13681.516853932584
2025-W44,1575415,81,119,19449.567901234568
2025-W45,1295645,95,84,13638.368421052632
2025-W46,1841550,81,102,22735.185185185186
2025-W47,1411505,96,86,14703.177083333334
2025-W48,1388600,67,116,20725.373134328358
2025-W49,1402800,78,93,17984.615384615383
2025-W50,1336569,71,103,18824.915492957745
2025-W51,1700635,97,106,17532.319587628866
2025-W52,1774075,80,117,22175.9375
2026-W01,2171206,89,153,24395.573033707864
2026-W02,1498805,75,97,19984.066666666666
2026-W03,1240350,66,85,18793.18181818182
2026-W04,1379600,75,83,18394.666666666668
2026-W05,1444845,85,91,16998.176470588234
2026-W06,973685,43,60,22643.837209302324
2026-W07,1721929,105,101,16399.32380952381
2026-W08,1601005,87,97,18402.35632183908
2026-W09,1056385,56,71,18864.01785714286
2026-W10,1111280,58,72,19160.0
2026-W11,1307390,72,85,18158.194444444445
