月,2024年_営業日当たり客数,2025年_営業日当たり客数,総差分,最大増加曜日,曜日別最大差分,最大増加時間帯,時間帯別最大差分
1,202.82758620689654,193.44827586206895,-9.379310344827587,金,7.800000000000011,その他,3.5
2,192.55172413793105,184.07142857142858,-8.480295566502463,日,28.0,アイドル(15-17時),2.017241379310345
3,210.19354838709677,170.48387096774192,-39.70967741935485,木,9.75,その他,0.8333333333333333
4,197.53333333333333,212.36666666666667,14.833333333333343,土,59.75,ディナー(17-22時),8.466666666666654
5,198.7741935483871,199.93548387096774,1.1612903225806406,月,22.0,ディナー(17-22時),4.677419354838705
6,201.4,186.25,-15.150000000000006,木,24.5,ディナー(17-22時),-0.5246376811594331
7,196.03225806451613,188.29032258064515,-7.741935483870975,土,22.75,その他,1.3333333333333335
8,203.41935483870967,187.90322580645162,-15.51612903225805,金,20.399999999999977,アイドル(15-17時),-0.8387096774193559
9,178.11111111111111,173.78571428571428,-4.325396825396837,月,81.25,その他,0.6666666666666667
