曜日,対象週売上,過去4週平均売上,売上差,対象週客数,過去4週平均客数,客数差,対象週1人単価,過去4週平均1人単価,1人単価差,客数要因寄与,客単価要因寄与,検算
月,196590,235765.0,-39175.0,6,11.25,-5.25,32765.0,22079.557523767082,10685.442476232918,-143966.9634998886,92161.94135750891,-51805.02214237969
火,147400,220366.25,-72966.25,7,13.0,-6.0,21057.14285714286,18982.20134032634,2074.941516816518,-120118.03259240759,20749.41516816518,-99368.6174242424
水,141470,175996.25,-34526.25,11,6.75,4.25,12860.90909090909,inf,-inf,inf,-inf,
木,160620,148182.25,12437.75,6,8.25,-2.25,26770.0,21489.004166666666,5280.995833333334,-54291.3796875,37627.09531250001,-16664.28437499999
金,184620,221071.25,-36451.25,14,10.5,3.5,13187.142857142857,24324.909812409813,-11137.766955266956,65646.09217171717,-136437.6452020202,-70791.55303030304
土,106290,196682.5,-90392.5,8,13.25,-5.25,13286.25,17135.43087121212,-3849.18087121212,-79856.91228693181,-40897.54675662878,-120754.45904356058
日,174290,186916.66666666666,-12626.666666666657,6,13.0,-7.0,29048.333333333332,15005.883012820514,14042.450320512819,-154189.75721153844,133403.27804487178,-20786.479166666657
