business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1574824,25,148,62992.96,その他
7,98990,2,6,49495.0,その他
19,147400,17,13,8670.588235294117,18-20時
20,7919805,1007,569,7864.751737835154,20-22時
21,7357525,963,670,7640.2128764278295,20-22時
22,3530570,262,350,13475.458015267175,22-24時
23,1448518,3,135,482839.3333333333,22-24時
24,1747385,1,154,1747385.0,24-26時
25,4775835,109,332,43815.0,24-26時
26,18006906,842,874,21385.87410926366,その他
27,19312352,981,938,19686.393476044854,その他
28,12802602,625,780,20484.1632,その他
29,6125745,185,434,33112.13513513513,その他
