business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1340890.0,74,145,18120.135135135137,その他
7,231410.0,24,14,9642.083333333334,その他
8,189320.0,8,1,23665.0,その他
18,78600.0,0,2,inf,18-20時
19,414520.0,28,23,14804.285714285714,18-20時
20,13125685.0,3473,1821,3779.350705441981,20-22時
21,13052935.0,5385,2976,2423.9433611884865,20-22時
22,6620640.0,2248,1461,2945.1245551601423,22-24時
23,665640.0,75,96,8875.2,22-24時
24,588700.0,41,79,14358.536585365853,24-26時
25,2964630.0,182,156,16289.175824175823,24-26時
26,19801222.0,1834,928,10796.740458015267,その他
27,15210776.0,1411,941,10780.138908575478,その他
28,9942470.0,956,733,10400.073221757322,その他
29,4862296.0,429,458,11334.02331002331,その他
