business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1363690.0,74,149,18428.243243243243,その他
7,231410.0,24,14,9642.083333333334,その他
8,189320.0,8,1,23665.0,その他
18,78600.0,0,2,inf,18-20時
19,414520.0,28,23,14804.285714285714,18-20時
20,13852465.0,3714,1956,3729.796715131933,20-22時
21,14035285.0,5785,3188,2426.1512532411407,20-22時
22,7156120.0,2410,1568,2969.344398340249,22-24時
23,771380.0,81,109,9523.20987654321,22-24時
24,610300.0,41,81,14885.365853658537,24-26時
25,3019430.0,182,164,16590.274725274725,24-26時
26,20863352.0,1927,982,10826.856253243384,その他
27,15935386.0,1480,1000,10767.152702702702,その他
28,10705300.0,1017,789,10526.352015732547,その他
29,5014186.0,439,483,11421.835990888383,その他
