年月,PC,スマホ,アプリ,総合
2025-05,297,587,864,1748
2025-06,212,849,807,1868
2025-07,312,942,1180,2434
2025-08,681,1380,2044,4105
2025-09,436,1210,1975,3621
2025-10,540,1116,2376,4032
2025-11,542,1430,2041,4013
2025-12,575,1342,2156,4073
2026-01,447,1202,1449,3098
2026-02,347,802,1512,2661
2026-03,366,1404,1209,2979
2026-04,370,1401,1692,3463
2026-05,429,1169,1575,3173
