予約No,顧客No,来店数,キャンセル数,連絡なしキャンセル数,来店日,来店時間,滞在時間,人数,お子様人数,ステータス,受付窓口,Vポイント,卓,コース,メニュー/コース,予約属性,予約メモ,作成日,作成時間,インポート時に指定した作成日,インポート時に指定した作成時間
SD2066288,,,,,2025/12/03,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/29,20:48,"",""
SD2244361,,,,,2025/12/03,11:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/12/01,16:37,"",""
SD1290776,,,,,2025/12/05,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/22,19:35,"",""
SD1138700,,,,,2025/12/05,18:30,105,6,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/11/21,15:14,"",""
4UV3PUQG67,130013441,1,0,0,2025/12/05,19:00,105,3,0,来店済み,食べログネット予約,0,A1,お席のみのご予約,"","","",2025/12/02,14:45,"",""
SD2661438,,,,,2025/12/05,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2025/12/04,22:28,"",""
SD1802123,,,,,2025/12/05,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/27,19:10,"",""
SD0521196,,,,,2025/12/06,17:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,B1,"","","","",2025/11/15,18:29,"",""
SD2769583,,,,,2025/12/06,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/12/05,20:30,"",""
SD2833574,,,,,2025/12/06,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/12/06,12:59,"",""
REGA2K75ZR,126316814,1,0,0,2025/12/06,17:30,105,3,0,来店済み,食べログネット予約,0,A3,お席のみのご予約,"","","",2025/10/29,21:05,"",""
SCY566313,,,,,2025/12/06,18:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/10/27,20:21,"",""
TEM8TAQDMD,127451553,1,0,0,2025/12/06,18:30,105,3,0,来店済み,食べログネット予約,0,A5,お席のみのご予約,"","","",2025/11/09,23:19,"",""
SD1006452,,,,,2025/12/06,19:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,B1,"","","","",2025/11/20,13:11,"",""
SD1673959,,,,,2025/12/06,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/26,17:27,"",""
S3YWSPE4YA,129032070,1,0,0,2025/12/06,19:30,105,3,0,来店済み,食べログネット予約,0,A3,お席のみのご予約,"","","",2025/11/24,00:49,"",""
SD2504977,,,,,2025/12/06,19:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/12/03,19:04,"",""
SD2881463,,,,,2025/12/07,12:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/12/06,18:40,"",""
SD0825490,,,,,2025/12/07,16:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/11/18,19:05,"",""
SCZ516256,,,,,2025/12/07,17:30,105,3,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/06,12:18,"",""
QPT3NL6QNV,130444027,1,0,0,2025/12/07,18:30,105,2,0,来店済み,食べログネット予約,0,A4,お席のみのご予約,"","","",2025/12/05,15:11,"",""
SD2871571,,,,,2025/12/07,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/12/06,17:44,"",""
SD2996197,,,,,2025/12/07,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2025/12/07,18:56,"",""
SD3206073,,,,,2025/12/09,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/12/09,17:25,"",""
XUTDX4U8SY,128689799,0,1,0,2025/12/09,19:00,105,3,0,ユーザーキャンセル,食べログネット予約,0,A1,お席のみのご予約,"","","",2025/11/20,22:16,"",""
SD3318594,,,,,2025/12/10,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/12/10,16:49,"",""
SD2958094,,,,,2025/12/10,20:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/12/07,14:16,"",""
SD0376129,,,,,2025/12/11,11:30,105,4,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/14,14:29,"",""
SD3266747,,,,,2025/12/11,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/12/10,01:12,"",""
SD1855454,,,,,2025/12/11,19:30,105,4,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/28,08:32,"",""
SD2829501,,,,,2025/12/12,18:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/12/06,12:21,"",""
GKD2PHT8UZ,130579947,1,0,0,2025/12/12,19:00,135,4,0,来店済み,食べログネット予約,0,A3,【各種120分飲み放題付】チュクミサムギョプサルスタンダードコース◆チュクミサムギョプサルや韓国のり、チヂミ、キンパなどを楽しむ,"","","",2025/12/06,16:47,"",""
RAR529923,,,,,2025/12/12,19:00,105,6,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/11/29,17:23,"",""
RAS059011,,,,,2025/12/12,19:00,105,7,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/12/10,10:38,"",""
SD2114513,,,,,2025/12/12,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/30,12:50,"",""
SD2690899,,,,,2025/12/12,19:00,105,6,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/12/05,10:01,"",""
LJCUHAX5MN,131298319,1,0,0,2025/12/13,13:30,105,2,0,来店済み,食べログネット予約,0,A4,お席のみのご予約,"","","",2025/12/12,08:24,"",""
SD3423094,,,,,2025/12/13,14:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/12/11,14:33,"",""
