予約No,顧客No,来店数,キャンセル数,連絡なしキャンセル数,来店日,来店時間,滞在時間,人数,お子様人数,ステータス,受付窓口,Vポイント,卓,コース,メニュー/コース,予約属性,予約メモ,作成日,作成時間,インポート時に指定した作成日,インポート時に指定した作成時間
SDA363692,,,,,2026/02/15,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/02/15,12:39,"",""
SD8721154,,,,,2026/02/15,20:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/30,18:04,"",""
SDA749869,,,,,2026/02/19,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/02/18,22:50,"",""
SDA423746,,,,,2026/02/19,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/02/15,21:07,"",""
SDA326258,,,,,2026/02/20,13:00,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/02/14,21:36,"",""
SDA700689,,,,,2026/02/20,19:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/02/18,17:27,"",""
SDA892361,,,,,2026/02/21,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/02/20,11:40,"",""
SDA976091,,,,,2026/02/21,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/02/20,21:55,"",""
SDA909203,,,,,2026/02/21,14:30,105,7,0,来店済み,HOT PEPPERグルメネット予約,0,"A3, A5","","","","",2026/02/20,14:09,"",""
SD7745785,,,,,2026/02/21,17:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/01/20,19:55,"",""
P9ZKG9DDRT,138863078,1,0,0,2026/02/21,19:00,105,2,0,来店済み,食べログネット予約,0,B2,お席のみのご予約,"","","",2026/02/20,21:58,"",""
SD9795829,,,,,2026/02/21,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/02/10,01:04,"",""
SDB017466,,,,,2026/02/21,19:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/02/21,11:47,"",""
SDB073693,,,,,2026/02/21,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/02/21,18:03,"",""
SD9275263,,,,,2026/02/22,11:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/02/05,07:21,"",""
SDB128871,,,,,2026/02/22,12:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/02/22,06:02,"",""
SDA620725,,,,,2026/02/22,13:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/02/17,20:29,"",""
SDB192769,,,,,2026/02/22,18:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/02/22,17:15,"",""
SDB201530,,,,,2026/02/22,18:15,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/02/22,18:02,"",""
SDB066932,,,,,2026/02/22,18:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/02/21,17:31,"",""
SD9769628,,,,,2026/02/25,13:00,105,3,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/02/09,20:37,"",""
SDB502439,,,,,2026/02/25,18:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2026/02/25,18:05,"",""
4RZZPFVEES,138862934,2,0,0,2026/02/25,20:00,105,4,0,来店済み,食べログネット予約,0,A1,お席のみのご予約,"","","",2026/02/20,21:57,"",""
RL2XYMQMGS,138514218,1,0,0,2026/02/27,17:30,105,2,0,来店済み,食べログネット予約,0,B2,お席のみのご予約,"","","",2026/02/17,20:34,"",""
F6ZMMPUKGQ,139251506,1,0,0,2026/02/27,18:00,135,4,0,来店済み,食べログネット予約,0,A1,【各種120分飲み放題付】チーズダッカルビスタンダードコース◆チーズダッカルビや韓国のり、チヂミ、キンパなどを楽しむ！宴会に◎,"","","",2026/02/24,21:21,"",""
SD8403325,,,,,2026/02/27,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/27,15:55,"",""
CM85QFJCWM,138985554,1,0,0,2026/02/27,19:30,105,2,0,来店済み,食べログネット予約,100,D2,お席のみのご予約,"","","",2026/02/22,00:44,"",""
SDA358894,,,,,2026/02/27,20:00,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/02/15,11:51,"",""
SDB740684,,,,,2026/02/27,20:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/02/27,18:21,"",""
SDB830908,,,,,2026/02/28,13:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/02/28,12:40,"",""
SDA542752,,,,,2026/02/28,16:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/02/17,01:24,"",""
SDA404391,,,,,2026/02/28,17:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/02/15,18:31,"",""
LUAWLDDPN9,138638398,1,0,0,2026/02/28,18:00,105,3,0,来店済み,食べログネット予約,0,B1,お席のみのご予約,"","","",2026/02/18,22:13,"",""
SDA534037,,,,,2026/02/28,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/02/16,22:59,"",""
SDA629535,,,,,2026/02/28,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2026/02/17,21:33,"",""
5AHT2WKQRW,137149212,1,0,0,2026/02/28,18:30,135,8,0,来店済み,食べログネット予約,0,"A3, A5",【各種120分飲み放題付】チーズダッカルビスタンダードコース◆チーズダッカルビや韓国のり、チヂミ、キンパなどを楽しむ！宴会に◎,"","","",2026/02/04,22:30,"",""
SDB832756,,,,,2026/02/28,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/02/28,12:53,"",""
SDB419081,,,,,2026/02/28,20:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/02/24,20:14,"",""
