予約No,顧客No,来店数,キャンセル数,連絡なしキャンセル数,来店日,来店時間,滞在時間,人数,お子様人数,ステータス,受付窓口,Vポイント,卓,コース,メニュー/コース,予約属性,予約メモ,作成日,作成時間,インポート時に指定した作成日,インポート時に指定した作成時間
SCX397996,,,,,2025/11/06,19:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/10/15,18:33,"",""
SCY407353,,,,,2025/11/06,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/10/26,02:53,"",""
SCZ558979,,,,,2025/11/06,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/06,18:46,"",""
SCX629569,,,,,2025/11/07,18:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/10/17,22:53,"",""
DJV2TERQMU,126304259,1,0,0,2025/11/07,19:00,105,2,0,来店済み,食べログネット予約,0,A4,お席のみのご予約,"","","",2025/10/29,19:20,"",""
Q249QUG2HG,127291459,1,0,0,2025/11/08,13:00,105,2,0,来店済み,食べログネット予約,0,A4,お席のみのご予約,"","","",2025/11/08,12:21,"",""
SCZ242870,,,,,2025/11/08,13:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/03,16:19,"",""
SCY381136,,,,,2025/11/08,18:00,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/10/25,19:20,"",""
CCA3CRJKYP,127307950,2,0,0,2025/11/08,19:00,105,2,0,来店済み,食べログネット予約,0,A5,お席のみのご予約,"","","",2025/11/08,15:20,"",""
SCZ179283,,,,,2025/11/08,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/02,19:37,"",""
SCZ484755,,,,,2025/11/08,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/05,22:48,"",""
SCZ497464,,,,,2025/11/08,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2025/11/06,07:28,"",""
SCZ742645,,,,,2025/11/08,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/08,12:10,"",""
SCZ756761,,,,,2025/11/08,20:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2025/11/08,14:18,"",""
SCZ822971,,,,,2025/11/09,13:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/08,23:55,"",""
SCZ847582,,,,,2025/11/09,14:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/09,12:45,"",""
SCZ816539,,,,,2025/11/09,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/08,22:35,"",""
SCZ763480,,,,,2025/11/09,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/08,15:36,"",""
3MV8Q5PYD8,127482179,1,0,0,2025/11/11,18:00,105,1,0,来店済み,食べログネット予約,0,A4,お席のみのご予約,"","","",2025/11/10,12:37,"",""
SCZ691222,,,,,2025/11/12,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/07,20:28,"",""
SCY998040,,,,,2025/11/12,12:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/01,07:43,"",""
SD0032438,,,,,2025/11/13,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/11,10:05,"",""
SCZ798850,,,,,2025/11/13,19:00,105,4,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/08,19:34,"",""
SCZ889724,,,,,2025/11/13,19:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/09,18:54,"",""
SCZ930803,,,,,2025/11/14,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/10,09:34,"",""
SD0187967,,,,,2025/11/14,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/12,18:58,"",""
SD0215213,,,,,2025/11/14,18:30,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,D2,"","","","",2025/11/12,22:12,"",""
SCX195454,,,,,2025/11/14,19:00,105,6,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/10/13,12:08,"",""
SD0398988,,,,,2025/11/14,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2025/11/14,17:50,"",""
SD0047521,,,,,2025/11/14,20:00,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/11,13:10,"",""
SD0347184,,,,,2025/11/14,20:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/14,09:02,"",""
MKTP8EDS8A,125230377,1,0,0,2025/11/15,15:30,105,2,0,来店済み,食べログネット予約,0,A4,お席のみのご予約,"","","",2025/10/18,07:23,"",""
SD0485853,,,,,2025/11/15,16:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/15,14:01,"",""
SCZ355821,,,,,2025/11/15,18:00,105,6,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/11/04,21:41,"",""
SD0000017,,,,,2025/11/15,18:30,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,"A3, A4","","","","",2025/11/10,21:11,"",""
SD0481316,,,,,2025/11/15,19:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/15,13:25,"",""
SD0507123,,,,,2025/11/16,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/15,17:00,"",""
SD0586195,,,,,2025/11/16,14:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/16,13:49,"",""
SD0112032,,,,,2025/11/16,15:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/11,22:34,"",""
SCY613834,,,,,2025/11/16,16:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/10/28,12:38,"",""
SD0594384,,,,,2025/11/16,17:30,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/11/16,15:17,"",""
SD0583810,,,,,2025/11/16,18:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/11/16,13:16,"",""
SCZ595621,,,,,2025/11/16,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/06,22:44,"",""
SD0206798,,,,,2025/11/19,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/12,21:10,"",""
YUYS3LD83G,128543332,1,0,0,2025/11/19,19:45,105,4,0,来店済み,食べログネット予約,0,A3,お席のみのご予約,"","","",2025/11/19,19:09,"",""
SD0924966,,,,,2025/11/19,21:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/19,17:58,"",""
SCZ958727,,,,,2025/11/20,17:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/10,15:31,"",""
SD1042408,,,,,2025/11/20,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/20,18:29,"",""
GKYMS9SYH9,128421406,1,0,0,2025/11/20,19:45,105,2,0,来店済み,食べログネット予約,0,A4,お席のみのご予約,"","","",2025/11/18,18:56,"",""
SD0698977,,,,,2025/11/21,19:30,105,3,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/17,16:23,"",""
SD0719028,,,,,2025/11/22,16:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/17,18:59,"",""
D2LYG9VW2F,127307950,2,0,0,2025/11/22,17:30,105,2,0,来店済み,食べログネット予約,0,D2,お席のみのご予約,"","","",2025/11/22,13:50,"",""
SD1159421,,,,,2025/11/22,17:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/21,18:01,"",""
SD0955461,,,,,2025/11/22,18:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2025/11/19,21:33,"",""
SD1174699,,,,,2025/11/22,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/21,19:31,"",""
SD1204026,,,,,2025/11/22,18:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A5,"","","","",2025/11/21,23:11,"",""
SD1148154,,,,,2025/11/23,13:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/21,16:43,"",""
SD1334372,,,,,2025/11/23,13:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/23,10:05,"",""
SD0232592,,,,,2025/11/23,14:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/13,07:50,"",""
SD1060219,,,,,2025/11/23,18:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/20,20:26,"",""
SD1163431,,,,,2025/11/23,18:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2025/11/21,18:27,"",""
SD1365596,,,,,2025/11/23,19:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/11/23,15:08,"",""
SD1391146,,,,,2025/11/23,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/23,18:06,"",""
SD1581411,,,,,2025/11/25,19:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/25,18:45,"",""
SD1666052,,,,,2025/11/26,20:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/26,16:15,"",""
SD1559981,,,,,2025/11/27,12:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/25,15:47,"",""
SD1795164,,,,,2025/11/28,17:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/27,18:31,"",""
SD1088025,,,,,2025/11/28,18:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/11/20,23:32,"",""
SD1854810,,,,,2025/11/28,18:30,105,6,0,来店済み,HOT PEPPERグルメネット予約,0,"A4, A5","","","","",2025/11/28,08:19,"",""
SD1819810,,,,,2025/11/28,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2025/11/27,21:02,"",""
SD1641798,,,,,2025/11/28,20:00,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/26,11:55,"",""
SD1825056,,,,,2025/11/28,20:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/27,21:40,"",""
SCY806795,,,,,2025/11/29,11:30,105,7,0,来店済み,HOT PEPPERグルメネット予約,0,"A3, A5","","","","",2025/10/30,13:04,"",""
SD1796351,,,,,2025/11/29,12:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/27,18:38,"",""
SD1919624,,,,,2025/11/29,14:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/28,18:41,"",""
SCZ955323,,,,,2025/11/29,17:00,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/10,15:15,"",""
SD1639252,,,,,2025/11/29,17:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/26,11:33,"",""
SCZ510541,,,,,2025/11/29,18:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/11/06,11:11,"",""
SD1331372,,,,,2025/11/29,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/23,09:29,"",""
SD2007869,,,,,2025/11/29,20:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/29,13:55,"",""
SD2054378,,,,,2025/11/29,20:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/11/29,19:13,"",""
SD2107930,,,,,2025/11/30,12:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/30,11:38,"",""
C2PDZVMGJ9,126047804,0,1,0,2025/11/30,12:15,105,1,0,ユーザーキャンセル,食べログネット予約,0,A4,お席のみのご予約,"","","",2025/10/27,01:51,"",""
SD2030253,,,,,2025/11/30,12:30,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/29,16:44,"",""
SD2109277,,,,,2025/11/30,16:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/30,11:59,"",""
SD1906443,,,,,2025/11/30,16:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/28,17:27,"",""
SD2057312,,,,,2025/11/30,17:30,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/11/29,19:36,"",""
SD2077189,,,,,2025/11/30,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/29,22:30,"",""
SD2123822,,,,,2025/11/30,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/30,14:15,"",""
