予約No,顧客No,来店数,キャンセル数,連絡なしキャンセル数,来店日,来店時間,滞在時間,人数,お子様人数,ステータス,受付窓口,Vポイント,卓,コース,メニュー/コース,予約属性,予約メモ,作成日,作成時間,インポート時に指定した作成日,インポート時に指定した作成時間
SCY078663,,,,,2025/11/01,12:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/10/22,20:27,"",""
SCY959877,,,,,2025/11/01,12:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/10/31,19:46,"",""
SCY989146,,,,,2025/11/01,13:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/10/31,23:50,"",""
SCY724235,,,,,2025/11/01,15:00,105,11,0,来店済み,HOT PEPPERグルメネット予約,0,"B1, B3, B4","","","","",2025/10/29,16:16,"",""
SCV494951,,,,,2025/11/01,17:00,105,11,0,来店済み,HOT PEPPERグルメネット予約,0,"B1, B3, B4","","","","",2025/09/25,15:16,"",""
SCY281517,,,,,2025/11/01,18:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/10/24,20:34,"",""
SCY302524,,,,,2025/11/01,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/10/25,00:09,"",""
SCY694515,,,,,2025/11/01,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2025/10/29,10:34,"",""
SCY627527,,,,,2025/11/01,19:30,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/10/28,15:47,"",""
SCY778141,,,,,2025/11/01,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/10/30,00:16,"",""
SCY907535,,,,,2025/11/01,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/10/31,12:14,"",""
SCZ035051,,,,,2025/11/01,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/11/01,14:50,"",""
SCZ071382,,,,,2025/11/02,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/01,19:01,"",""
SCZ080586,,,,,2025/11/02,12:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/01,20:17,"",""
SCZ124331,,,,,2025/11/02,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/11/02,12:14,"",""
SCZ127274,,,,,2025/11/02,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/11/02,12:46,"",""
SCX850488,,,,,2025/11/04,20:00,105,5,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,D1,"","","","",2025/10/20,14:16,"",""
SCZ356557,,,,,2025/11/05,12:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/11/05,10:39,"",""
