予約No,顧客No,来店数,キャンセル数,連絡なしキャンセル数,来店日,来店時間,滞在時間,人数,お子様人数,ステータス,受付窓口,Vポイント,卓,コース,メニュー/コース,予約属性,予約メモ,作成日,作成時間,インポート時に指定した作成日,インポート時に指定した作成時間
SDG134644,,,,,2026/04/01,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/01,13:06,"",""
JYYN5KQCA3,143336901,1,0,0,2026/04/02,12:30,105,2,0,来店済み,食べログネット予約,0,A4,お席のみのご予約,"","","",2026/04/02,12:13,"",""
SDG270044,,,,,2026/04/02,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/02,18:34,"",""
SDG277535,,,,,2026/04/02,20:30,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2026/04/02,19:21,"",""
SDG248596,,,,,2026/04/03,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/02,15:42,"",""
SDG327770,,,,,2026/04/03,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/03,08:30,"",""
SDG368865,,,,,2026/04/03,18:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/04/03,16:22,"",""
SDG377372,,,,,2026/04/04,12:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/03,17:31,"",""
SDG441734,,,,,2026/04/04,14:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/04,01:43,"",""
SDG321555,,,,,2026/04/04,15:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/04/03,05:32,"",""
SDE180711,,,,,2026/04/04,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/03/19,12:59,"",""
SDG340371,,,,,2026/04/04,18:00,105,13,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/03,11:43,"",""
SDG399673,,,,,2026/04/04,18:00,105,11,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/03,19:24,"",""
SDF872807,,,,,2026/04/04,19:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/03/30,16:27,"",""
SDF517236,,,,,2026/04/04,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/03/28,12:59,"",""
SDG443140,,,,,2026/04/04,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/04,07:37,"",""
SDG581231,,,,,2026/04/05,12:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/04/05,12:20,"",""
SDG582438,,,,,2026/04/05,13:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/05,12:16,"",""
SDG586863,,,,,2026/04/05,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/05,12:59,"",""
SDG107534,,,,,2026/04/05,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/01,00:26,"",""
SDG427650,,,,,2026/04/05,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/04/03,22:10,"",""
SDG573215,,,,,2026/04/05,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/04/05,10:36,"",""
SDF807314,,,,,2026/04/09,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/03/30,00:42,"",""
SDG179526,,,,,2026/04/09,19:30,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/01,19:57,"",""
SDH051423,,,,,2026/04/10,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/09,19:22,"",""
SDE188909,,,,,2026/04/10,18:30,105,4,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/03/19,14:24,"",""
SDG805901,,,,,2026/04/10,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/04/07,15:37,"",""
SDH155796,,,,,2026/04/10,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/10,17:54,"",""
K4WHPH4JWM,143654555,1,0,0,2026/04/10,19:00,135,9,0,来店済み,食べログネット予約,0,"A3, A4, A5",【各種120分飲み放題付】チュクミサムギョプサルスタンダードコース◆チュクミサムギョプサルや韓国のり、チヂミ、キンパなどを楽しむ,"","","",2026/04/04,22:36,"",""
SDH052262,,,,,2026/04/10,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2026/04/09,19:33,"",""
SDH083527,,,,,2026/04/10,20:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2026/04/09,22:51,"",""
SDH219830,,,,,2026/04/11,13:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/11,08:21,"",""
SDH259061,,,,,2026/04/11,15:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/11,15:08,"",""
SDG965978,,,,,2026/04/11,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/08,22:19,"",""
SDH228214,,,,,2026/04/11,17:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/11,10:05,"",""
SDH254752,,,,,2026/04/11,17:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/11,14:13,"",""
SDG852838,,,,,2026/04/11,18:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/04/07,21:30,"",""
SDH022985,,,,,2026/04/11,18:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2026/04/09,16:05,"",""
SDH226139,,,,,2026/04/11,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/11,10:27,"",""
SDG662724,,,,,2026/04/11,19:00,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/04/06,05:53,"",""
SDH149482,,,,,2026/04/11,19:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2026/04/10,17:17,"",""
SDG432183,,,,,2026/04/11,20:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/03,22:59,"",""
SDH352801,,,,,2026/04/12,12:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/12,11:16,"",""
SDH367015,,,,,2026/04/12,15:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/12,13:28,"",""
SDH225168,,,,,2026/04/12,18:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2026/04/11,09:43,"",""
SDH395044,,,,,2026/04/12,18:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/12,17:18,"",""
SDG178485,,,,,2026/04/15,19:30,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/01,20:18,"",""
SDH210209,,,,,2026/04/17,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/11,00:11,"",""
SDH687411,,,,,2026/04/17,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2026/04/15,15:49,"",""
SDH928248,,,,,2026/04/17,18:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A5,"","","","",2026/04/17,16:56,"",""
SDH091802,,,,,2026/04/17,19:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/04/10,00:21,"",""
SDH625832,,,,,2026/04/17,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/04/14,20:41,"",""
SDH774634,,,,,2026/04/17,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2026/04/16,11:44,"",""
SDH842811,,,,,2026/04/17,20:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2026/04/16,20:34,"",""
SDJ055048,,,,,2026/04/18,16:45,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/18,16:43,"",""
SDG893033,,,,,2026/04/18,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/04/08,12:39,"",""
SDH857848,,,,,2026/04/18,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/16,22:13,"",""
SDH975036,,,,,2026/04/18,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/17,21:33,"",""
4TPUCJAFWN,144968056,1,0,0,2026/04/18,18:15,105,2,0,来店済み,食べログネット予約,0,A5,お席のみのご予約,"","","",2026/04/16,18:36,"",""
SDG300319,,,,,2026/04/18,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/02,22:04,"",""
SDH099213,,,,,2026/04/18,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2026/04/10,07:55,"",""
SDH735095,,,,,2026/04/18,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/04/15,20:53,"",""
SDH762373,,,,,2026/04/18,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2026/04/16,08:04,"",""
SDJ126465,,,,,2026/04/19,15:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/04/19,09:45,"",""
SDJ161215,,,,,2026/04/19,17:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/19,15:22,"",""
SDJ116919,,,,,2026/04/19,18:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2026/04/18,23:37,"",""
SDJ121864,,,,,2026/04/19,18:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/04/19,02:21,"",""
SDJ166978,,,,,2026/04/19,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/19,15:57,"",""
SDJ097767,,,,,2026/04/19,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/18,20:18,"",""
SDJ157086,,,,,2026/04/19,20:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/19,14:19,"",""
SDJ185003,,,,,2026/04/19,20:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/19,17:43,"",""
WTG8ZV8PSU,145270221,0,1,0,2026/04/22,19:00,105,2,0,ユーザーキャンセル,食べログネット予約,0,A4,お席のみのご予約,"","","",2026/04/19,13:47,"",""
SDG694024,,,,,2026/04/23,11:30,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2026/04/06,14:20,"",""
SDJ461329,,,,,2026/04/23,18:00,105,6,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2026/04/22,10:15,"",""
SDH150669,,,,,2026/04/23,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/10,17:25,"",""
SDJ511201,,,,,2026/04/24,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/22,18:32,"",""
SDJ496071,,,,,2026/04/24,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/22,16:35,"",""
SDH844493,,,,,2026/04/24,18:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/04/16,20:52,"",""
SDJ804926,,,,,2026/04/25,13:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/04/25,00:56,"",""
SDJ863387,,,,,2026/04/25,16:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/25,15:56,"",""
SDJ865763,,,,,2026/04/25,16:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/25,15:59,"",""
SDJ237340,,,,,2026/04/25,16:30,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/04/20,19:55,"",""
