予約No,顧客No,来店数,キャンセル数,連絡なしキャンセル数,来店日,来店時間,滞在時間,人数,お子様人数,ステータス,受付窓口,Vポイント,卓,コース,メニュー/コース,予約属性,予約メモ,作成日,作成時間,インポート時に指定した作成日,インポート時に指定した作成時間
SD5952029,,,,,2026/01/03,16:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2026/01/03,13:54,"",""
SD5966026,,,,,2026/01/03,17:00,105,6,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/03,16:12,"",""
K5V8ES2SFC,133135613,1,0,0,2026/01/03,18:15,135,7,0,来店済み,食べログネット予約,0,"A3, A5",【各種120分飲み放題付】タッカンマリ鍋スタンダードコース◆タッカンマリ鍋や韓国のり、ヤンニョムチキンを楽しむ,"","","",2025/12/27,23:15,"",""
SD5961140,,,,,2026/01/03,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/03,15:25,"",""
SD5993872,,,,,2026/01/03,20:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/03,19:42,"",""
SD5998179,,,,,2026/01/04,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/01/03,20:34,"",""
SD5779793,,,,,2026/01/04,12:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/01,11:29,"",""
SD6009053,,,,,2026/01/04,13:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/01/03,22:38,"",""
SD6038203,,,,,2026/01/04,14:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/04,13:04,"",""
SD6049640,,,,,2026/01/04,15:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/04,15:02,"",""
SD6042975,,,,,2026/01/04,17:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/04,13:42,"",""
SD5686818,,,,,2026/01/04,17:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/12/30,19:55,"",""
SD5795093,,,,,2026/01/04,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/01,16:03,"",""
SD6046904,,,,,2026/01/04,19:00,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/04,14:33,"",""
SD6152437,,,,,2026/01/06,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/05,16:51,"",""
SD5112207,,,,,2026/01/07,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/12/25,21:05,"",""
SD6116337,,,,,2026/01/09,17:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/01/05,09:50,"",""
SD4126785,,,,,2026/01/09,18:30,105,7,0,来店済み,HOT PEPPERグルメネット予約,0,"A3, A5","","","","",2025/12/17,15:27,"",""
SD6441682,,,,,2026/01/09,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/08,12:14,"",""
SD6269027,,,,,2026/01/09,19:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/01/06,18:35,"",""
KWYPVE6L7V,134226246,1,0,0,2026/01/10,11:30,105,1,0,来店済み,食べログネット予約,0,A4,お席のみのご予約,"","","",2026/01/09,00:12,"",""
SD6716090,,,,,2026/01/10,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/10,16:44,"",""
RAT124982,,,,,2026/01/10,18:00,105,6,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/07,23:44,"",""
SD6394738,,,,,2026/01/10,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/07,20:31,"",""
SD6677433,,,,,2026/01/10,18:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/10,11:42,"",""
SD6056850,,,,,2026/01/10,19:00,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2026/01/04,16:04,"",""
SD6404093,,,,,2026/01/10,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/01/07,21:27,"",""
SD6409096,,,,,2026/01/10,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/07,22:10,"",""
SD6196170,,,,,2026/01/10,19:30,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/01/05,22:15,"",""
SD6687268,,,,,2026/01/10,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/01/10,12:56,"",""
