予約No,顧客No,来店数,キャンセル数,連絡なしキャンセル数,来店日,来店時間,滞在時間,人数,お子様人数,ステータス,受付窓口,Vポイント,卓,コース,メニュー/コース,予約属性,予約メモ,作成日,作成時間,インポート時に指定した作成日,インポート時に指定した作成時間
SDB666950,,,,,2026/03/01,12:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/02/27,00:11,"",""
SDB972563,,,,,2026/03/01,12:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2026/03/01,11:37,"",""
SDB726413,,,,,2026/03/01,17:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2026/02/27,17:08,"",""
SDB002075,,,,,2026/03/01,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/02/21,09:01,"",""
SDB092557,,,,,2026/03/01,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2026/02/21,19:47,"",""
SDB935743,,,,,2026/03/01,18:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A5,"","","","",2026/02/28,21:38,"",""
SDB841682,,,,,2026/03/01,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2026/02/28,14:00,"",""
SDB859126,,,,,2026/03/01,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,D2,"","","","",2026/02/28,16:12,"",""
SDC358607,,,,,2026/03/04,17:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/03/04,16:01,"",""
SDC460704,,,,,2026/03/05,12:45,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/03/05,12:32,"",""
SDC489025,,,,,2026/03/05,17:15,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/03/05,17:11,"",""
SDC081330,,,,,2026/03/06,12:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2026/03/01,22:31,"",""
SDB584639,,,,,2026/03/06,18:30,105,8,0,来店済み,HOT PEPPERグルメネット予約,0,"A3, A5","","","","",2026/02/26,13:50,"",""
SDC222680,,,,,2026/03/06,18:30,105,6,0,来店済み,HOT PEPPERグルメネット予約,0,D1,"","","","",2026/03/03,12:10,"",""
SDB354409,,,,,2026/03/06,19:00,105,11,0,来店済み,HOT PEPPERグルメネット予約,0,"B1, B3, B4","","","","",2026/02/24,09:26,"",""
