予約No,顧客No,来店数,キャンセル数,連絡なしキャンセル数,来店日,来店時間,滞在時間,人数,お子様人数,ステータス,受付窓口,Vポイント,卓,コース,メニュー/コース,予約属性,予約メモ,作成日,作成時間,インポート時に指定した作成日,インポート時に指定した作成時間
7516815,,,,,2025/07/18,12:30,105,2,0,来店済み,電話予約,0,A5,"","","","",2025/07/17,14:31,,
72869HQ79A,116759431,0,1,0,2025/07/18,19:00,105,2,0,ユーザーキャンセル,食べログネット予約,0,D2,お席のみのご予約,"","","",2025/07/18,17:37,"",""
SCN307958,,,,,2025/07/18,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/17,19:22,"",""
GJP3WYJ454,116749235,1,0,0,2025/07/18,19:30,105,2,0,来店済み,食べログネット予約,0,B2,お席のみのご予約,"","","",2025/07/18,15:57,"",""
SCN421975,,,,,2025/07/18,20:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/07/18,19:31,"",""
SCN357131,,,,,2025/07/19,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/18,08:09,"",""
SCN479958,,,,,2025/07/19,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/19,11:19,"",""
SCN584011,,,,,2025/07/20,13:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/20,10:42,"",""
SCN503081,,,,,2025/07/20,17:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/19,15:04,"",""
SCN590444,,,,,2025/07/20,18:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/07/20,11:49,"",""
SCN585993,,,,,2025/07/20,19:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,B2,"","","","",2025/07/20,10:58,"",""
SCN647597,,,,,2025/07/20,20:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/20,19:46,"",""
YT2S8Y5E3C,117169699,0,1,0,2025/07/23,17:00,105,2,0,ユーザーキャンセル,食べログネット予約,0,B2,お席のみのご予約,"","","",2025/07/23,14:57,"",""
SCN544699,,,,,2025/07/23,18:30,105,6,0,来店済み,HOT PEPPERグルメネット予約,0,"A3, A4","","","","",2025/07/19,20:13,"",""
SCP012428,,,,,2025/07/24,20:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/24,19:00,"",""
SCP054901,,,,,2025/07/25,11:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/07/25,02:58,"",""
SCN857793,,,,,2025/07/25,19:30,105,4,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/07/23,08:52,"",""
SCP131310,,,,,2025/07/26,11:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/25,20:08,"",""
LMSP4LA24L,117453203,1,0,0,2025/07/26,18:00,105,3,0,来店済み,食べログネット予約,0,D1,お席のみのご予約,"","","",2025/07/26,14:08,"",""
SCN859751,,,,,2025/07/26,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/07/23,09:12,"",""
SCP053865,,,,,2025/07/26,19:00,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A5,"","","","",2025/07/25,01:56,"",""
SCP170423,,,,,2025/07/26,19:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/26,09:44,"",""
SCP179357,,,,,2025/07/26,19:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A3,"","","","",2025/07/26,11:25,"",""
SCP239311,,,,,2025/07/26,20:30,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,"","","","","",2025/07/26,20:08,"",""
SCP432389,,,,,2025/07/29,19:30,105,3,0,来店済み,HOT PEPPERグルメネット予約,0,A1,"","","","",2025/07/28,21:02,"",""
SCP132356,,,,,2025/07/29,20:00,105,2,0,ユーザーキャンセル,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/25,20:20,"",""
SCN760572,,,,,2025/07/30,19:30,105,5,0,来店済み,HOT PEPPERグルメネット予約,0,"A3, A4","","","","",2025/07/22,06:27,"",""
SCP691324,,,,,2025/07/31,18:00,105,2,0,来店済み,HOT PEPPERグルメネット予約,0,A4,"","","","",2025/07/31,14:49,"",""
