month,lunch_groups,after16_groups,total_groups,other_groups
2025-05,13,752,765,0
2025-06,72,776,848,0
2025-07,87,752,840,1
2025-08,118,691,812,3
2025-09,107,626,733,0
2025-10,102,615,717,0
2025-11,123,534,657,0
2025-12,148,519,667,0
2026-01,99,386,485,0
