month,lunch_groups,after16_groups,total_groups,other_groups
2025-05,30,735,765,0
2025-06,94,754,848,0
2025-07,106,734,840,0
2025-08,130,680,812,2
2025-09,114,618,733,1
2025-10,106,611,717,0
2025-11,122,531,657,4
2025-12,147,518,667,2
2026-01,102,383,485,0
