month,lunch_groups,after16_groups,total_groups,other_groups
2025-05,153,612,765,0
2025-06,43,770,848,35
2025-07,0,808,840,32
2025-08,0,752,812,60
2025-09,0,719,733,14
2025-10,0,717,717,0
2025-11,0,657,657,0
2025-12,0,667,667,0
2026-01,3,459,485,23
