business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1338790.0,74,144,18091.756756756757,その他
7,231410.0,24,14,9642.083333333334,その他
8,189320.0,8,1,23665.0,その他
18,78600.0,0,2,inf,18-20時
19,414520.0,28,23,14804.285714285714,18-20時
20,12875955.0,3412,1793,3773.7265533411487,20-22時
21,12860505.0,5310,2930,2421.9406779661017,20-22時
22,6534510.0,2220,1439,2943.472972972973,22-24時
23,665640.0,75,96,8875.2,22-24時
24,587200.0,41,78,14321.951219512195,24-26時
25,2948380.0,182,154,16199.89010989011,24-26時
26,19719332.0,1828,921,10787.380743982494,その他
27,14940646.0,1386,919,10779.68686868687,その他
28,9807950.0,944,719,10389.777542372882,その他
29,4813526.0,428,451,11246.556074766355,その他
