business_hour,account_total,customer_count,account_id,客単価,time_bucket
12,170.0,1,1,170.0,その他
13,122740.0,11,9,11158.181818181818,その他
14,389800.0,107,63,3642.9906542056074,その他
15,379410.0,75,45,5058.8,その他
16,320000.0,100,16,3200.0,その他
17,380990.0,98,34,3887.6530612244896,その他
18,1914560.0,519,174,3688.9402697495184,18-20時
19,5697890.0,1239,600,4598.781275221953,18-20時
20,14779070.0,2676,1124,5522.821375186846,20-22時
21,21804910.0,3858,1560,5651.868843960601,20-22時
22,30544880.0,4962,1995,6155.759774284563,22-24時
23,33217020.0,6438,2586,5159.524697110904,22-24時
24,19410470.0,3347,1370,5799.363609202271,24-26時
25,11188270.0,1559,791,7176.568313021167,24-26時
26,739140.0,550,353,1343.8909090909092,その他
27,869250.0,94,68,9247.340425531915,その他
28,499760.0,32,17,15617.5,その他
