year_week,売上,客数,組数,客単価
2025-W10,713040.0,155,79,4600.258064516129
2025-W11,885670.0,206,59,4299.368932038835
2025-W12,825940.0,168,73,4916.309523809524
2025-W13,937660.0,203,61,4619.014778325123
2025-W14,1023910.0,188,64,5446.329787234043
2025-W15,803460.0,180,79,4463.666666666667
2025-W16,877570.0,185,67,4743.621621621622
2025-W17,796690.0,179,73,4450.782122905028
2025-W18,878010.0,204,61,4303.970588235294
2025-W19,769450.0,115,47,6690.869565217391
2025-W20,934220.0,177,67,5278.079096045198
2025-W21,612700.0,120,51,5105.833333333333
2025-W22,512830.0,108,52,4748.425925925926
2025-W23,471960.0,102,43,4627.058823529412
2025-W24,504110.0,92,41,5479.45652173913
2025-W25,710930.0,155,41,4586.645161290323
2025-W26,644240.0,116,49,5553.793103448276
2025-W27,741760.0,143,52,5187.132867132867
2025-W28,719160.0,169,59,4255.384615384615
2025-W29,721500.0,164,63,4399.390243902439
2025-W30,522330.0,130,46,4017.923076923077
2025-W31,534000.0,99,39,5393.939393939394
2025-W32,1029010.0,123,49,8365.934959349594
2025-W33,671690.0,110,54,6106.272727272727
2025-W34,770700.0,153,50,5037.254901960784
2025-W35,490610.0,92,31,5332.717391304348
2025-W36,392060.0,70,33,5600.857142857143
2025-W37,669710.0,128,49,5232.109375
2025-W38,798410.0,157,52,5085.414012738854
2025-W39,345470.0,73,35,4732.465753424657
2025-W40,561950.0,114,39,4929.3859649122805
2025-W41,579020.0,127,45,4559.212598425197
2025-W42,778970.0,163,48,4778.957055214724
2025-W43,776330.0,108,48,7188.240740740741
2025-W44,506520.0,106,39,4778.490566037736
2025-W45,821650.0,164,57,5010.0609756097565
2025-W46,918590.0,165,54,5567.212121212121
2025-W47,780950.0,170,54,4593.823529411765
2025-W48,704800.0,135,55,5220.740740740741
2025-W49,685910.0,137,33,5006.6423357664235
2025-W50,983790.0,170,43,5787.0
2025-W51,1269810.0,195,56,6511.846153846154
2025-W52,1058610.0,191,74,5542.460732984293
2026-W01,473660.0,99,42,4784.444444444444
2026-W02,534580.0,89,27,6006.516853932584
2026-W03,41280.0,8,3,5160.0
