year_week,category1,subtotal,quantity,構成比
2026-W07,コース&セット,180500.0,30,30.123497997329775
2026-W07,ジャパニーズカクテル,81800.0,48,13.651535380507344
2026-W07,オリジナルカクテル,75300.0,49,12.566755674232311
2026-W07,その他,39700.0,83,6.625500667556743
2026-W07,ご飯もの,30400.0,20,5.07343124165554
2026-W07,ビール,28000.0,22,4.672897196261682
2026-W07,ワイン（グラス）,27400.0,18,4.572763684913218
2026-W07,アラカルト,24300.0,20,4.0554072096128175
2026-W07,イベント,20800.0,4,3.4712950600801067
2026-W07,ウイスキー（ハイボール・ボトル・オリジナル）,20200.0,15,3.371161548731642
2026-W07,スナック,20100.0,22,3.354472630173565
2026-W07,ウイスキー,14300.0,9,2.3865153538050734
2026-W07,ソフトドリンク,9800.0,12,1.6355140186915886
2026-W07,ノンアルコールカクテル,9100.0,7,1.5186915887850467
2026-W07,デザート,6300.0,5,1.0514018691588785
2026-W07,カクテル,4200.0,3,0.7009345794392523
2026-W07,ジャパニーズウイスキー,3000.0,2,0.5006675567423231
2026-W07,ドリンク,2400.0,2,0.4005340453938585
2026-W07,サラダ,1600.0,1,0.26702269692923897
2026-W07,未設定,0.0,18,0.0
