year_week,category1,subtotal,quantity,構成比
2026-W22,NEW CLASSIC COCKTAIL,74300.0,49,17.299185098952268
2026-W22,未設定,49000.0,13,11.40861466821886
2026-W22,その他,48700.0,83,11.338766006984866
2026-W22,JAPANESE COCKTAIL,41800.0,22,9.732246798603027
2026-W22,コース&セット,30000.0,6,6.984866123399301
2026-W22,DESSERT COCKTAIL,25500.0,17,5.9371362048894065
2026-W22,COLD APPETIZERS,21300.0,17,4.959254947613504
2026-W22,ワイン,19500.0,3,4.540162980209546
2026-W22,MAIN DISHES,19400.0,10,4.516880093131548
2026-W22,HOT APPETIZERS,17200.0,13,4.0046565774155995
2026-W22,ビール,14700.0,12,3.422584400465658
2026-W22,ワイン（グラス）,13600.0,9,3.1664726426076832
2026-W22,FRUITS COCKTAIL,13500.0,9,3.143189755529686
2026-W22,ジン,8800.0,6,2.0488940628637953
2026-W22,ジャパニーズウイスキー,8600.0,4,2.0023282887077998
2026-W22,ウイスキー,7300.0,4,1.69965075669383
2026-W22,BAR SNACKS ,5200.0,7,1.210710128055879
2026-W22,ウイスキー（ハイボール・ボトル・オリジナル）,4800.0,4,1.1175785797438882
2026-W22,STANDARD COCKTAIL,2400.0,2,0.5587892898719441
2026-W22,デザート,1500.0,1,0.3492433061699651
2026-W22,ドリンク,1200.0,1,0.27939464493597205
2026-W22,DESSERT,1200.0,1,0.27939464493597205
2026-W22,BFA特典,0.0,1,0.0
