business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1317710.0,80,143,16471.375,その他
7,197410.0,17,12,11612.35294117647,その他
8,189320.0,8,1,23665.0,その他
18,78600.0,0,2,inf,18-20時
19,414520.0,28,23,14804.285714285714,18-20時
20,12546215.0,3319,1733,3780.119011750527,20-22時
21,12551545.0,5176,2849,2424.950734157651,20-22時
22,6328890.0,2159,1390,2931.398795738768,22-24時
23,660980.0,81,94,8160.246913580247,22-24時
24,580050.0,46,78,12609.782608695652,24-26時
25,2928280.0,182,151,16089.45054945055,24-26時
26,18820862.0,1757,900,10711.930563460444,その他
27,14577446.0,1400,915,10412.461428571429,その他
28,9546190.0,943,725,10123.2131495228,その他
29,4683216.0,434,434,10790.820276497696,その他
