weekday,account_total,customer_count,account_id,客単価
土,24581320.0,4545,1987,5408.4312431243125
日,18795460.0,3559,1648,5281.1070525428495
月,15789970.0,2768,1262,5704.468930635838
木,15988990.0,2866,1259,5578.852058618283
水,16298500.0,2841,1152,5736.888419570574
火,17384870.0,2914,1124,5965.981468771448
金,23003580.0,4257,1739,5403.706835799859
