日付,データ区分,予約数,ウォークイン数,合計
2025/11/01,組数,12,0,12
2025/11/01,人数,48,0,48
2025/11/02,組数,4,0,4
2025/11/02,人数,8,0,8
2025/11/03,組数,0,0,0
2025/11/03,人数,0,0,0
2025/11/04,組数,0,0,0
2025/11/04,人数,0,0,0
2025/11/05,組数,1,0,1
2025/11/05,人数,3,0,3
2025/11/06,組数,3,0,3
2025/11/06,人数,9,0,9
2025/11/07,組数,2,0,2
2025/11/07,人数,6,0,6
2025/11/08,組数,8,0,8
2025/11/08,人数,20,0,20
2025/11/09,組数,4,0,4
2025/11/09,人数,8,0,8
2025/11/10,組数,0,0,0
2025/11/10,人数,0,0,0
2025/11/11,組数,1,0,1
2025/11/11,人数,1,0,1
2025/11/12,組数,2,0,2
2025/11/12,人数,4,0,4
2025/11/13,組数,2,0,2
2025/11/13,人数,6,0,6
2025/11/14,組数,5,0,5
2025/11/14,人数,14,0,14
2025/11/15,組数,5,0,5
2025/11/15,人数,20,0,20
2025/11/16,組数,7,0,7
2025/11/16,人数,20,0,20
2025/11/17,組数,0,0,0
2025/11/17,人数,0,0,0
2025/11/18,組数,0,0,0
2025/11/18,人数,0,0,0
2025/11/19,組数,3,0,3
2025/11/19,人数,9,0,9
2025/11/20,組数,3,0,3
2025/11/20,人数,8,0,8
2025/11/21,組数,0,0,0
2025/11/21,人数,0,0,0
2025/11/22,組数,6,0,6
2025/11/22,人数,17,0,17
2025/11/23,組数,7,0,7
2025/11/23,人数,21,0,21
2025/11/24,組数,0,0,0
2025/11/24,人数,0,0,0
2025/11/25,組数,1,0,1
2025/11/25,人数,4,0,4
2025/11/26,組数,1,0,1
2025/11/26,人数,2,0,2
2025/11/27,組数,1,0,1
2025/11/27,人数,3,0,3
2025/11/28,組数,5,0,5
2025/11/28,人数,19,0,19
2025/11/29,組数,8,0,8
2025/11/29,人数,27,0,27
2025/11/30,組数,6,0,6
2025/11/30,人数,15,0,15
