日付,データ区分,予約数,ウォークイン数,合計
2025/09/01,組数,0,0,0
2025/09/01,人数,0,0,0
2025/09/02,組数,1,0,1
2025/09/02,人数,4,0,4
2025/09/03,組数,2,0,2
2025/09/03,人数,5,0,5
2025/09/04,組数,4,0,4
2025/09/04,人数,9,0,9
2025/09/05,組数,4,0,4
2025/09/05,人数,10,0,10
2025/09/06,組数,6,0,6
2025/09/06,人数,19,0,19
2025/09/07,組数,6,0,6
2025/09/07,人数,17,0,17
2025/09/08,組数,0,0,0
2025/09/08,人数,0,0,0
2025/09/09,組数,0,0,0
2025/09/09,人数,0,0,0
2025/09/10,組数,1,0,1
2025/09/10,人数,2,0,2
2025/09/11,組数,2,0,2
2025/09/11,人数,7,0,7
2025/09/12,組数,4,0,4
2025/09/12,人数,9,0,9
2025/09/13,組数,13,0,13
2025/09/13,人数,34,0,34
2025/09/14,組数,8,0,8
2025/09/14,人数,24,0,24
2025/09/15,組数,0,0,0
2025/09/15,人数,0,0,0
2025/09/16,組数,0,0,0
2025/09/16,人数,0,0,0
2025/09/17,組数,0,0,0
2025/09/17,人数,0,0,0
2025/09/18,組数,2,0,2
2025/09/18,人数,7,0,7
2025/09/19,組数,4,0,4
2025/09/19,人数,12,0,12
2025/09/20,組数,7,0,7
2025/09/20,人数,27,0,27
2025/09/21,組数,8,0,8
2025/09/21,人数,23,0,23
2025/09/22,組数,0,0,0
2025/09/22,人数,0,0,0
2025/09/23,組数,5,0,5
2025/09/23,人数,14,0,14
2025/09/24,組数,1,0,1
2025/09/24,人数,2,0,2
2025/09/25,組数,0,0,0
2025/09/25,人数,0,0,0
2025/09/26,組数,7,0,7
2025/09/26,人数,16,0,16
2025/09/27,組数,8,0,8
2025/09/27,人数,18,0,18
2025/09/28,組数,4,0,4
2025/09/28,人数,15,0,15
2025/09/29,組数,0,0,0
2025/09/29,人数,0,0,0
2025/09/30,組数,0,0,0
2025/09/30,人数,0,0,0
