日付,データ区分,予約数,ウォークイン数,合計
2026/04/01,組数,1,0,1
2026/04/01,人数,2,0,2
2026/04/02,組数,3,0,3
2026/04/02,人数,9,0,9
2026/04/03,組数,3,0,3
2026/04/03,人数,8,0,8
2026/04/04,組数,8,0,8
2026/04/04,人数,28,0,28
2026/04/05,組数,6,0,6
2026/04/05,人数,13,0,13
2026/04/06,組数,0,0,0
2026/04/06,人数,0,0,0
2026/04/07,組数,0,0,0
2026/04/07,人数,0,0,0
2026/04/08,組数,0,0,0
2026/04/08,人数,0,0,0
2026/04/09,組数,1,0,1
2026/04/09,人数,2,0,2
2026/04/10,組数,6,0,6
2026/04/10,人数,22,0,22
2026/04/11,組数,10,0,10
2026/04/11,人数,27,0,27
2026/04/12,組数,4,0,4
2026/04/12,人数,12,0,12
2026/04/13,組数,0,0,0
2026/04/13,人数,0,0,0
2026/04/14,組数,0,0,0
2026/04/14,人数,0,0,0
2026/04/15,組数,0,0,0
2026/04/15,人数,0,0,0
2026/04/16,組数,0,0,0
2026/04/16,人数,0,0,0
2026/04/17,組数,7,0,7
2026/04/17,人数,17,0,17
2026/04/18,組数,9,0,9
2026/04/18,人数,19,0,19
2026/04/19,組数,8,0,8
2026/04/19,人数,22,0,22
2026/04/20,組数,0,0,0
2026/04/20,人数,0,0,0
2026/04/21,組数,0,0,0
2026/04/21,人数,0,0,0
2026/04/22,組数,0,0,0
2026/04/22,人数,0,0,0
2026/04/23,組数,3,0,3
2026/04/23,人数,13,0,13
2026/04/24,組数,3,0,3
2026/04/24,人数,8,0,8
2026/04/25,組数,10,0,10
2026/04/25,人数,31,0,31
2026/04/26,組数,3,0,3
2026/04/26,人数,6,0,6
2026/04/27,組数,0,0,0
2026/04/27,人数,0,0,0
2026/04/28,組数,2,0,2
2026/04/28,人数,7,0,7
2026/04/29,組数,10,0,10
2026/04/29,人数,30,0,30
2026/04/30,組数,7,0,7
2026/04/30,人数,20,0,20
