日付,データ区分,予約数,ウォークイン数,合計
2025/07/01,組数,0,0,0
2025/07/01,人数,0,0,0
2025/07/02,組数,0,0,0
2025/07/02,人数,0,0,0
2025/07/03,組数,0,0,0
2025/07/03,人数,0,0,0
2025/07/04,組数,0,0,0
2025/07/04,人数,0,0,0
2025/07/05,組数,0,0,0
2025/07/05,人数,0,0,0
2025/07/06,組数,0,0,0
2025/07/06,人数,0,0,0
2025/07/07,組数,0,0,0
2025/07/07,人数,0,0,0
2025/07/08,組数,0,0,0
2025/07/08,人数,0,0,0
2025/07/09,組数,0,0,0
2025/07/09,人数,0,0,0
2025/07/10,組数,0,0,0
2025/07/10,人数,0,0,0
2025/07/11,組数,0,0,0
2025/07/11,人数,0,0,0
2025/07/12,組数,0,0,0
2025/07/12,人数,0,0,0
2025/07/13,組数,0,0,0
2025/07/13,人数,0,0,0
2025/07/14,組数,0,0,0
2025/07/14,人数,0,0,0
2025/07/15,組数,0,0,0
2025/07/15,人数,0,0,0
2025/07/16,組数,0,0,0
2025/07/16,人数,0,0,0
2025/07/17,組数,0,0,0
2025/07/17,人数,0,0,0
2025/07/18,組数,4,0,4
2025/07/18,人数,9,0,9
2025/07/19,組数,2,0,2
2025/07/19,人数,4,0,4
2025/07/20,組数,5,0,5
2025/07/20,人数,11,0,11
2025/07/21,組数,0,0,0
2025/07/21,人数,0,0,0
2025/07/22,組数,0,0,0
2025/07/22,人数,0,0,0
2025/07/23,組数,1,0,1
2025/07/23,人数,6,0,6
2025/07/24,組数,1,0,1
2025/07/24,人数,2,0,2
2025/07/25,組数,2,0,2
2025/07/25,人数,7,0,7
2025/07/26,組数,7,0,7
2025/07/26,人数,18,0,18
2025/07/27,組数,0,0,0
2025/07/27,人数,0,0,0
2025/07/28,組数,0,0,0
2025/07/28,人数,0,0,0
2025/07/29,組数,1,0,1
2025/07/29,人数,3,0,3
2025/07/30,組数,1,0,1
2025/07/30,人数,5,0,5
2025/07/31,組数,1,0,1
2025/07/31,人数,2,0,2
