日付,データ区分,予約数,ウォークイン数,合計
2026/02/01,組数,4,0,4
2026/02/01,人数,16,0,16
2026/02/02,組数,0,0,0
2026/02/02,人数,0,0,0
2026/02/03,組数,3,0,3
2026/02/03,人数,7,0,7
2026/02/04,組数,0,0,0
2026/02/04,人数,0,0,0
2026/02/05,組数,0,0,0
2026/02/05,人数,0,0,0
2026/02/06,組数,2,0,2
2026/02/06,人数,7,0,7
2026/02/07,組数,5,0,5
2026/02/07,人数,10,0,10
2026/02/08,組数,2,0,2
2026/02/08,人数,4,0,4
2026/02/09,組数,0,0,0
2026/02/09,人数,0,0,0
2026/02/10,組数,2,0,2
2026/02/10,人数,4,0,4
2026/02/11,組数,2,0,2
2026/02/11,人数,10,0,10
2026/02/12,組数,2,0,2
2026/02/12,人数,4,0,4
2026/02/13,組数,5,0,5
2026/02/13,人数,13,0,13
2026/02/14,組数,7,0,7
2026/02/14,人数,28,0,28
2026/02/15,組数,4,0,4
2026/02/15,人数,9,0,9
2026/02/16,組数,0,0,0
2026/02/16,人数,0,0,0
2026/02/17,組数,0,0,0
2026/02/17,人数,0,0,0
2026/02/18,組数,0,0,0
2026/02/18,人数,0,0,0
2026/02/19,組数,2,0,2
2026/02/19,人数,4,0,4
2026/02/20,組数,1,0,1
2026/02/20,人数,4,0,4
2026/02/21,組数,8,0,8
2026/02/21,人数,25,0,25
2026/02/22,組数,6,0,6
2026/02/22,人数,16,0,16
2026/02/23,組数,0,0,0
2026/02/23,人数,0,0,0
2026/02/24,組数,0,0,0
2026/02/24,人数,0,0,0
2026/02/25,組数,2,0,2
2026/02/25,人数,7,0,7
2026/02/26,組数,0,0,0
2026/02/26,人数,0,0,0
2026/02/27,組数,5,0,5
2026/02/27,人数,12,0,12
2026/02/28,組数,9,0,9
2026/02/28,人数,30,0,30
