日付,データ区分,予約数,ウォークイン数,合計
2025/10/01,組数,2,0,2
2025/10/01,人数,5,0,5
2025/10/02,組数,0,0,0
2025/10/02,人数,0,0,0
2025/10/03,組数,2,0,2
2025/10/03,人数,8,0,8
2025/10/04,組数,8,0,8
2025/10/04,人数,20,0,20
2025/10/05,組数,3,0,3
2025/10/05,人数,6,0,6
2025/10/06,組数,0,0,0
2025/10/06,人数,0,0,0
2025/10/07,組数,0,0,0
2025/10/07,人数,0,0,0
2025/10/08,組数,2,0,2
2025/10/08,人数,6,0,6
2025/10/09,組数,1,0,1
2025/10/09,人数,4,0,4
2025/10/10,組数,6,0,6
2025/10/10,人数,19,0,19
2025/10/11,組数,7,0,7
2025/10/11,人数,20,0,20
2025/10/12,組数,4,0,4
2025/10/12,人数,13,0,13
2025/10/13,組数,0,0,0
2025/10/13,人数,0,0,0
2025/10/14,組数,0,0,0
2025/10/14,人数,0,0,0
2025/10/15,組数,1,0,1
2025/10/15,人数,3,0,3
2025/10/16,組数,1,0,1
2025/10/16,人数,2,0,2
2025/10/17,組数,6,0,6
2025/10/17,人数,20,0,20
2025/10/18,組数,8,0,8
2025/10/18,人数,27,0,27
2025/10/19,組数,8,0,8
2025/10/19,人数,21,0,21
2025/10/20,組数,0,0,0
2025/10/20,人数,0,0,0
2025/10/21,組数,0,0,0
2025/10/21,人数,0,0,0
2025/10/22,組数,7,0,7
2025/10/22,人数,16,0,16
2025/10/23,組数,1,0,1
2025/10/23,人数,2,0,2
2025/10/24,組数,3,0,3
2025/10/24,人数,7,0,7
2025/10/25,組数,8,0,8
2025/10/25,人数,20,0,20
2025/10/26,組数,5,0,5
2025/10/26,人数,18,0,18
2025/10/27,組数,0,0,0
2025/10/27,人数,0,0,0
2025/10/28,組数,2,0,2
2025/10/28,人数,8,0,8
2025/10/29,組数,3,0,3
2025/10/29,人数,7,0,7
2025/10/30,組数,2,0,2
2025/10/30,人数,4,0,4
2025/10/31,組数,2,0,2
2025/10/31,人数,4,0,4
