日付,データ区分,予約数,ウォークイン数,合計
2025/12/01,組数,0,0,0
2025/12/01,人数,0,0,0
2025/12/02,組数,0,0,0
2025/12/02,人数,0,0,0
2025/12/03,組数,2,0,2
2025/12/03,人数,6,0,6
2025/12/04,組数,0,0,0
2025/12/04,人数,0,0,0
2025/12/05,組数,4,0,4
2025/12/05,人数,9,0,9
2025/12/06,組数,10,0,10
2025/12/06,人数,28,0,28
2025/12/07,組数,5,0,5
2025/12/07,人数,15,0,15
2025/12/08,組数,0,0,0
2025/12/08,人数,0,0,0
2025/12/09,組数,1,0,1
2025/12/09,人数,2,0,2
2025/12/10,組数,2,0,2
2025/12/10,人数,4,0,4
2025/12/11,組数,1,0,1
2025/12/11,人数,2,0,2
2025/12/12,組数,6,0,6
2025/12/12,人数,29,0,29
2025/12/13,組数,6,0,6
2025/12/13,人数,26,0,26
2025/12/14,組数,4,0,4
2025/12/14,人数,13,0,13
2025/12/15,組数,0,0,0
2025/12/15,人数,0,0,0
2025/12/16,組数,0,0,0
2025/12/16,人数,0,0,0
2025/12/17,組数,2,0,2
2025/12/17,人数,7,0,7
2025/12/18,組数,3,0,3
2025/12/18,人数,8,0,8
2025/12/19,組数,2,0,2
2025/12/19,人数,18,0,18
2025/12/20,組数,10,0,10
2025/12/20,人数,46,0,46
2025/12/21,組数,5,0,5
2025/12/21,人数,13,0,13
2025/12/22,組数,0,0,0
2025/12/22,人数,0,0,0
2025/12/23,組数,5,0,5
2025/12/23,人数,19,0,19
2025/12/24,組数,6,0,6
2025/12/24,人数,16,0,16
2025/12/25,組数,7,0,7
2025/12/25,人数,22,0,22
2025/12/26,組数,3,0,3
2025/12/26,人数,10,0,10
2025/12/27,組数,7,0,7
2025/12/27,人数,22,0,22
2025/12/28,組数,9,0,9
2025/12/28,人数,29,0,29
2025/12/29,組数,9,0,9
2025/12/29,人数,31,0,31
2025/12/30,組数,7,0,7
2025/12/30,人数,32,0,32
2025/12/31,組数,0,0,0
2025/12/31,人数,0,0,0
