日付,データ区分,予約数,ウォークイン数,合計
2026/06/01,組数,0,0,0
2026/06/01,人数,0,0,0
2026/06/02,組数,0,0,0
2026/06/02,人数,0,0,0
2026/06/03,組数,0,0,0
2026/06/03,人数,0,0,0
2026/06/04,組数,1,0,1
2026/06/04,人数,3,0,3
2026/06/05,組数,4,0,4
2026/06/05,人数,13,0,13
2026/06/06,組数,6,0,6
2026/06/06,人数,16,0,16
2026/06/07,組数,5,0,5
2026/06/07,人数,10,0,10
2026/06/08,組数,0,0,0
2026/06/08,人数,0,0,0
2026/06/09,組数,1,0,1
2026/06/09,人数,5,0,5
2026/06/10,組数,1,0,1
2026/06/10,人数,2,0,2
2026/06/11,組数,1,0,1
2026/06/11,人数,3,0,3
2026/06/12,組数,5,0,5
2026/06/12,人数,20,0,20
2026/06/13,組数,13,0,13
2026/06/13,人数,33,0,33
2026/06/14,組数,7,0,7
2026/06/14,人数,16,0,16
2026/06/15,組数,0,0,0
2026/06/15,人数,0,0,0
2026/06/16,組数,0,0,0
2026/06/16,人数,0,0,0
2026/06/17,組数,1,0,1
2026/06/17,人数,2,0,2
2026/06/18,組数,1,0,1
2026/06/18,人数,2,0,2
2026/06/19,組数,4,0,4
2026/06/19,人数,8,0,8
2026/06/20,組数,8,0,8
2026/06/20,人数,16,0,16
2026/06/21,組数,4,0,4
2026/06/21,人数,20,0,20
2026/06/22,組数,0,0,0
2026/06/22,人数,0,0,0
2026/06/23,組数,1,0,1
2026/06/23,人数,6,0,6
2026/06/24,組数,1,0,1
2026/06/24,人数,9,0,9
2026/06/25,組数,3,0,3
2026/06/25,人数,9,0,9
2026/06/26,組数,5,0,5
2026/06/26,人数,11,0,11
2026/06/27,組数,6,0,6
2026/06/27,人数,25,0,25
2026/06/28,組数,8,0,8
2026/06/28,人数,18,0,18
2026/06/29,組数,0,0,0
2026/06/29,人数,0,0,0
2026/06/30,組数,2,0,2
2026/06/30,人数,10,0,10
