日付,データ区分,予約数,ウォークイン数,合計
2026/05/01,組数,9,0,9
2026/05/01,人数,23,0,23
2026/05/02,組数,9,0,9
2026/05/02,人数,32,0,32
2026/05/03,組数,7,0,7
2026/05/03,人数,22,0,22
2026/05/04,組数,0,0,0
2026/05/04,人数,0,0,0
2026/05/05,組数,8,0,8
2026/05/05,人数,21,0,21
2026/05/06,組数,5,0,5
2026/05/06,人数,20,0,20
2026/05/07,組数,3,0,3
2026/05/07,人数,6,0,6
2026/05/08,組数,4,0,4
2026/05/08,人数,17,0,17
2026/05/09,組数,9,0,9
2026/05/09,人数,29,0,29
2026/05/10,組数,10,0,10
2026/05/10,人数,33,0,33
2026/05/11,組数,0,0,0
2026/05/11,人数,0,0,0
2026/05/12,組数,0,0,0
2026/05/12,人数,0,0,0
2026/05/13,組数,1,0,1
2026/05/13,人数,2,0,2
2026/05/14,組数,1,0,1
2026/05/14,人数,2,0,2
2026/05/15,組数,7,0,7
2026/05/15,人数,22,0,22
2026/05/16,組数,9,0,9
2026/05/16,人数,34,0,34
2026/05/17,組数,1,0,1
2026/05/17,人数,2,0,2
2026/05/18,組数,0,0,0
2026/05/18,人数,0,0,0
2026/05/19,組数,1,0,1
2026/05/19,人数,4,0,4
2026/05/20,組数,0,0,0
2026/05/20,人数,0,0,0
2026/05/21,組数,1,0,1
2026/05/21,人数,2,0,2
2026/05/22,組数,4,0,4
2026/05/22,人数,8,0,8
2026/05/23,組数,5,0,5
2026/05/23,人数,17,0,17
2026/05/24,組数,0,0,0
2026/05/24,人数,0,0,0
2026/05/25,組数,0,0,0
2026/05/25,人数,0,0,0
2026/05/26,組数,3,0,3
2026/05/26,人数,11,0,11
2026/05/27,組数,1,0,1
2026/05/27,人数,2,0,2
2026/05/28,組数,1,0,1
2026/05/28,人数,4,0,4
2026/05/29,組数,8,0,8
2026/05/29,人数,25,0,25
2026/05/30,組数,7,0,7
2026/05/30,人数,25,0,25
2026/05/31,組数,5,0,5
2026/05/31,人数,14,0,14
