日付,データ区分,予約数,ウォークイン数,合計
2026/01/01,組数,0,0,0
2026/01/01,人数,0,0,0
2026/01/02,組数,0,0,0
2026/01/02,人数,0,0,0
2026/01/03,組数,5,0,5
2026/01/03,人数,22,0,22
2026/01/04,組数,9,0,9
2026/01/04,人数,27,0,27
2026/01/05,組数,0,0,0
2026/01/05,人数,0,0,0
2026/01/06,組数,1,0,1
2026/01/06,人数,2,0,2
2026/01/07,組数,1,0,1
2026/01/07,人数,2,0,2
2026/01/08,組数,0,0,0
2026/01/08,人数,0,0,0
2026/01/09,組数,4,0,4
2026/01/09,人数,17,0,17
2026/01/10,組数,9,0,9
2026/01/10,人数,26,0,26
2026/01/11,組数,8,0,8
2026/01/11,人数,19,0,19
2026/01/12,組数,0,0,0
2026/01/12,人数,0,0,0
2026/01/13,組数,0,0,0
2026/01/13,人数,0,0,0
2026/01/14,組数,0,0,0
2026/01/14,人数,0,0,0
2026/01/15,組数,0,0,0
2026/01/15,人数,0,0,0
2026/01/16,組数,4,0,4
2026/01/16,人数,20,0,20
2026/01/17,組数,3,0,3
2026/01/17,人数,11,0,11
2026/01/18,組数,5,0,5
2026/01/18,人数,17,0,17
2026/01/19,組数,0,0,0
2026/01/19,人数,0,0,0
2026/01/20,組数,2,0,2
2026/01/20,人数,8,0,8
2026/01/21,組数,2,0,2
2026/01/21,人数,5,0,5
2026/01/22,組数,2,0,2
2026/01/22,人数,7,0,7
2026/01/23,組数,7,0,7
2026/01/23,人数,20,0,20
2026/01/24,組数,3,0,3
2026/01/24,人数,10,0,10
2026/01/25,組数,5,0,5
2026/01/25,人数,12,0,12
2026/01/26,組数,0,0,0
2026/01/26,人数,0,0,0
2026/01/27,組数,2,0,2
2026/01/27,人数,7,0,7
2026/01/28,組数,1,0,1
2026/01/28,人数,2,0,2
2026/01/29,組数,1,0,1
2026/01/29,人数,2,0,2
2026/01/30,組数,3,0,3
2026/01/30,人数,13,0,13
2026/01/31,組数,6,0,6
2026/01/31,人数,21,0,21
