日付,データ区分,予約数,ウォークイン数,合計
2025/08/01,組数,2,0,2
2025/08/01,人数,6,0,6
2025/08/02,組数,9,0,9
2025/08/02,人数,20,0,20
2025/08/03,組数,2,0,2
2025/08/03,人数,7,0,7
2025/08/04,組数,0,0,0
2025/08/04,人数,0,0,0
2025/08/05,組数,0,0,0
2025/08/05,人数,0,0,0
2025/08/06,組数,1,0,1
2025/08/06,人数,3,0,3
2025/08/07,組数,2,0,2
2025/08/07,人数,5,0,5
2025/08/08,組数,3,0,3
2025/08/08,人数,12,0,12
2025/08/09,組数,10,0,10
2025/08/09,人数,31,0,31
2025/08/10,組数,4,0,4
2025/08/10,人数,14,0,14
2025/08/11,組数,0,0,0
2025/08/11,人数,0,0,0
2025/08/12,組数,6,0,6
2025/08/12,人数,21,0,21
2025/08/13,組数,8,0,8
2025/08/13,人数,20,0,20
2025/08/14,組数,6,0,6
2025/08/14,人数,23,0,23
2025/08/15,組数,9,0,9
2025/08/15,人数,19,0,19
2025/08/16,組数,6,0,6
2025/08/16,人数,25,0,25
2025/08/17,組数,4,0,4
2025/08/17,人数,10,0,10
2025/08/18,組数,0,0,0
2025/08/18,人数,0,0,0
2025/08/19,組数,0,0,0
2025/08/19,人数,0,0,0
2025/08/20,組数,2,0,2
2025/08/20,人数,4,0,4
2025/08/21,組数,5,0,5
2025/08/21,人数,13,0,13
2025/08/22,組数,9,0,9
2025/08/22,人数,22,0,22
2025/08/23,組数,8,0,8
2025/08/23,人数,25,0,25
2025/08/24,組数,7,0,7
2025/08/24,人数,15,0,15
2025/08/25,組数,0,0,0
2025/08/25,人数,0,0,0
2025/08/26,組数,3,0,3
2025/08/26,人数,13,0,13
2025/08/27,組数,4,0,4
2025/08/27,人数,14,0,14
2025/08/28,組数,0,0,0
2025/08/28,人数,0,0,0
2025/08/29,組数,3,0,3
2025/08/29,人数,11,0,11
2025/08/30,組数,11,0,11
2025/08/30,人数,31,0,31
2025/08/31,組数,5,0,5
2025/08/31,人数,14,0,14
