business_hour,account_total,customer_count,account_id,客単価,time_bucket
6,1300390.0,72,139,18060.972222222223,その他
7,209410.0,19,13,11021.578947368422,その他
8,189320.0,8,1,23665.0,その他
18,78600.0,0,2,inf,18-20時
19,414520.0,28,23,14804.285714285714,18-20時
20,12567505.0,3323,1737,3781.975624435751,20-22時
21,12478635.0,5112,2835,2441.0475352112676,20-22時
22,6387960.0,2162,1395,2954.6530989824237,22-24時
23,639240.0,73,94,8756.712328767124,22-24時
24,573300.0,41,77,13982.926829268292,24-26時
25,2915280.0,180,150,16196.0,24-26時
26,18914592.0,1758,894,10759.153583617748,その他
27,14575806.0,1358,896,10733.288659793814,その他
28,9627060.0,923,700,10430.184182015168,その他
29,4662506.0,405,428,11512.36049382716,その他
