年月,通話成立数,ネット予約組数,地図印刷PV,全体PV
2025-06,0,0,0,1868
2025-07,0,4,0,2434
2025-08,10,15,0,4105
2025-09,1,14,0,3621
2025-10,8,15,0,4032
2025-11,5,9,0,4013
2025-12,10,21,0,4073
2026-01,0,13,0,3098
2026-02,1,10,0,2661
2026-03,4,6,0,2979
2026-04,4,5,0,3463
2026-05,3,8,0,3173
2026-06,1,13,0,2239
