year_week,category1,subtotal,quantity,構成比
2026-W13,フード,414820.0,219,30.48914042115321
2026-W13,ランチ,335570.0,199,24.664290176766748
2026-W13,コース,227360.0,25,16.71088897872184
2026-W13,ウーバーイーツ,204700.0,69,15.045386057109258
2026-W13,ドリンク,119500.0,144,8.783212671346147
2026-W13,ロケットナウ,49800.0,39,3.660284443791114
2026-W13,ウォルト,4900.0,1,0.3601484693690052
2026-W13,TO/出前,3300.0,1,0.242548969166881
2026-W13,テイクアウト,600.0,1,0.04409981257579655
