year_week,category1,subtotal,quantity,構成比
2026-W09,ワイン,150500,5,18.582541054451166
2026-W09,コース&セット,143000,24,17.656500802568218
2026-W09,オリジナルカクテル,75800,44,9.359180145697
2026-W09,テキーラ,67400,18,8.322015063588099
2026-W09,ジャパニーズカクテル,67200,38,8.297320656871218
2026-W09,その他,45900,94,5.667366341523645
2026-W09,ウイスキー（ハイボール・ボトル・オリジナル）,41200,30,5.087047783676997
2026-W09,スナック,34900,27,4.30917397209532
2026-W09,ウイスキー,26000,16,3.210272873194221
2026-W09,アラカルト,25300,17,3.1238424496851462
2026-W09,ワイン（グラス）,20800,13,2.568218298555377
2026-W09,ビール,19900,16,2.457093468329423
2026-W09,ジャパニーズウイスキー,18400,10,2.271885417952834
2026-W09,ご飯もの,18200,11,2.247191011235955
2026-W09,カクテル,15000,9,1.8520805037658972
2026-W09,日本酒,8500,5,1.0495122854673415
2026-W09,ソフトドリンク,5800,7,0.7161377947894801
2026-W09,サラダ,4800,3,0.592665761205087
2026-W09,黒板メニュー,4800,2,0.592665761205087
2026-W09,ジン,4500,3,0.555624151129769
2026-W09,未設定,4000,19,0.49388813433757256
2026-W09,ラム,3000,2,0.3704161007531794
2026-W09,ノンアルコールカクテル,2600,2,0.32102728731942215
2026-W09,ドリンク,2400,2,0.2963328806025435
