H.曜日,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
月,,24.0,1486.0,2438.0,1466.0,909.0,550.0,450.0,553.0,960.0,1212.0,1076.0,688.0,214.0,
火,,24.0,1698.0,2945.0,1731.0,993.0,629.0,428.0,536.0,987.0,1382.0,1252.0,841.0,230.0,
水,1.0,23.0,1895.0,3100.0,1831.0,1059.0,664.0,499.0,550.0,1090.0,1341.0,1333.0,792.0,272.0,5.0
木,,16.0,1798.0,3327.0,1845.0,1069.0,683.0,488.0,597.0,1139.0,1540.0,1317.0,881.0,254.0,
金,,33.0,1746.0,3098.0,1897.0,1006.0,635.0,418.0,602.0,1113.0,1459.0,1393.0,916.0,362.0,7.0
土,1.0,31.0,955.0,1268.0,1269.0,899.0,629.0,608.0,629.0,830.0,870.0,878.0,645.0,222.0,
日,1.0,24.0,893.0,1170.0,1158.0,796.0,602.0,557.0,623.0,784.0,935.0,907.0,423.0,39.0,
