曜日,件数,平均,標準偏差,分散,最小,最大,25%,中央値,75%,変動係数
月,12156,28.169824229461447,12.36267222835023,152.83566462562203,0.25,161.88333333333333,20.866666666666667,25.733333333333334,32.40416666666667,43.88622423643209
火,13787,27.88013587679215,11.140464124692526,124.10994091356123,0.16666666666666666,157.78333333333333,21.033333333333335,25.866666666666667,32.233333333333334,39.95842837324914
水,14602,28.099019540702187,11.699730864629833,136.88370230477193,0.2833333333333333,178.98333333333332,21.033333333333335,26.1,32.53333333333333,41.637505706142015
木,15086,28.160306465155333,11.435210492260522,130.76403900230514,0.15,177.06666666666666,21.0875,25.966666666666665,32.6,40.60754987311693
金,14765,28.43258381307145,12.323463998050784,151.8677649112538,0.16666666666666666,175.73333333333332,21.15,26.033333333333335,32.71666666666667,43.34275097567903
土,9828,28.729692375525712,12.218908338908475,149.30172099464707,0.45,170.93333333333334,21.379166666666666,26.35,33.15,42.53059231959453
日,8971,29.21645858878609,12.38459735808322,153.37825172184188,0.38333333333333336,179.08333333333334,21.433333333333334,26.816666666666666,34.2,42.38911201522794
