時間帯,件数,平均,標準偏差,分散,変動係数
9,3,17.222222222222225,1.495765628303718,2.237314814814816,8.685090744989328
10,190,26.57140350877193,14.877239315022015,221.33224963643673,55.98966313582435
11,10536,26.539455201214885,9.223538382804275,85.07366029906369,34.754060747946525
12,17458,27.359192538282354,8.916694895399312,79.50744785764014,32.59122096868402
13,11296,28.18240822710104,10.941227461712536,119.71045836893254,38.82289750948653
14,6773,28.16904621290418,12.15973433676457,147.8591391406913,43.16700766103405
15,4421,27.624089572494913,11.738125114353664,137.78358120022023,42.49235104581047
16,3504,28.48829908675799,13.771716562073978,189.6601770661027,48.3416595709478
17,4137,28.7323261622754,14.254739769831888,203.19760590562686,49.612202260699284
18,6987,29.010476599398885,13.852872597634386,191.90207920628967,47.75127547515516
19,8826,30.24142873328801,14.437099501332332,208.42984201137025,47.73947563344059
20,8211,30.469956968294564,14.018059701695032,196.50599780028622,46.00616835882469
21,5232,28.9240379714577,12.018534222586968,144.44516485949416,41.5520621098855
22,1608,26.487914593698175,9.886971653702668,97.75220848112006,37.32634979144379
23,13,13.812820512820512,9.857073869595137,97.16190527065525,71.36177481236501
