曜日,対象週売上,過去4週平均売上,売上差,対象週客数,過去4週平均客数,客数差,対象週1人単価,過去4週平均1人単価,1人単価差,客数要因寄与,客単価要因寄与,検算
月,8800.0,50350.0,-41550.0,3,10.25,-7.25,2933.3333333333335,5470.833333333333,-2537.4999999999995,-30465.104166666664,-16810.937499999996,-47276.04166666666
火,75900.0,76105.0,-205.0,12,19.25,-7.25,6325.0,4006.8256578947367,2318.1743421052633,-37452.86800986842,36221.47409539474,-1231.3939144736796
水,124970.0,102242.5,22727.5,27,19.5,7.5,4628.518518518518,5074.981684981685,-446.463166463167,36388.12576312576,-10380.268620268633,26007.85714285713
金,45370.0,183802.5,-138432.5,11,32.25,-21.25,4124.545454545455,5410.593034128097,-1286.0475795826424,-101310.84644215649,-27810.77890847464,-129121.62535063113
土,146050.0,90807.5,55242.5,30,19.5,10.5,4868.333333333333,4556.777777777777,311.55555555555566,49481.83333333333,7711.000000000003,57192.83333333333
日,68500.0,89012.5,-20512.5,13,18.5,-5.5,5269.2307692307695,4400.249704491725,868.9810647390441,-26591.071302736862,13686.451769639945,-12904.619533096917
