year_week,category1,subtotal,quantity,構成比
2026-W20,コース&セット,120000.0,21,25.33783783783784
2026-W20,NEW CLASSIC COCKTAIL,54000.0,36,11.402027027027026
2026-W20,ウイスキー（ハイボール・ボトル・オリジナル）,49400.0,29,10.430743243243242
2026-W20,その他,41200.0,77,8.699324324324325
2026-W20,ジャパニーズウイスキー,33200.0,11,7.010135135135136
2026-W20,ウイスキー,33200.0,22,7.010135135135136
2026-W20,ワイン,32500.0,3,6.862331081081082
2026-W20,DESSERT COCKTAIL,19500.0,13,4.117398648648648
2026-W20,JAPANESE COCKTAIL,19000.0,10,4.011824324324325
2026-W20,FRUITS COCKTAIL,13500.0,9,2.8505067567567566
2026-W20,COLD APPETIZERS,12100.0,10,2.5548986486486487
2026-W20,HOT APPETIZERS,11900.0,9,2.512668918918919
2026-W20,BAR SNACKS ,10500.0,15,2.2170608108108105
2026-W20,未設定,10000.0,13,2.1114864864864864
2026-W20,MAIN DISHES,4000.0,2,0.8445945945945946
2026-W20,日本酒,3400.0,2,0.7179054054054055
2026-W20,ビール,2600.0,2,0.5489864864864865
2026-W20,ジン,1600.0,1,0.33783783783783783
2026-W20,ワイン（グラス）,1200.0,1,0.2533783783783784
2026-W20,ソフトドリンク,800.0,1,0.16891891891891891
