曜日,低単価(%),高単価(%),差分
月,14.31851295862952,13.386224866798896,-0.9322880918306247
火,16.48196388361517,13.565122700579474,-2.916841183035695
水,17.98313391319705,14.794073036985184,-3.189060876211867
木,17.86833855799373,16.178586707113134,-1.6897518508805973
金,16.791028301470266,15.692451289231126,-1.09857701223914
土,8.618482052187733,13.646793450783651,5.028311398595918
日,7.93854033290653,12.736747948508537,4.798207615602007
