曜日,平均,中央値,件数
月,1422.0,1331.0,12146
火,1405.0,1309.0,13784
水,1405.0,1309.0,14606
木,1419.0,1309.0,15084
金,1431.0,1331.0,14758
土,1521.0,1419.0,9830
日,1533.0,1419.0,8976
