曜日,件数,平均,標準偏差,分散,最小,最大,25%,中央値,75%,変動係数
月,12026,28.10738122955818,11.870757905907583,140.91489326066738,0.25,152.41666666666666,20.916666666666668,25.766666666666666,32.37916666666666,42.233596253442855
火,13676,27.889187871697377,10.929458875346882,119.45307130789872,0.4166666666666667,156.93333333333334,21.05,25.883333333333333,32.25416666666666,39.18887464786438
水,14455,28.117084053960568,11.298047964814986,127.64588781526004,0.4166666666666667,171.0,21.108333333333334,26.116666666666667,32.53333333333333,40.18214670885669
木,14954,28.164082073915566,11.205660418370769,125.56682541184136,0.48333333333333334,177.06666666666666,21.120833333333334,25.983333333333334,32.56666666666667,39.78706065747834
金,14685,28.406354556803993,12.117338350350934,146.82988869688552,0.16666666666666666,175.73333333333332,21.166666666666668,26.033333333333335,32.7,42.657139711890785
土,9734,28.719219574001784,11.916977442508433,142.0143513652548,0.5333333333333333,144.3,21.433333333333334,26.375,33.09583333333333,41.49478161062683
日,8912,29.26987395272292,12.261994895398102,150.3565188147691,0.55,179.08333333333334,21.483333333333334,26.85,34.233333333333334,41.8928858908099
