,mean,mean,median,median,count,count
日種別,土日,平日,土日,平日,土日,平日
時間帯カテゴリ,,,,,,
ランチ(11-14時),1466.7341994219041,1323.8138112159609,1419.0,1254.0,6771,32503
アイドル(14-17時),1515.016935996028,1418.127031977032,1419.0,1331.0,4124,10582
ディナー前半(17-20時),1604.8466365005254,1542.7851307852438,1475.8333333333335,1419.0,4712,15250
ディナー後半(20時以降),1552.9861290978827,1504.264852532394,1432.75,1419.0,3199,12043
