年月,カテゴリ,売上額,構成比(%),客数,客単価
2023-03,ランチ Eat-in,869030,12.9,234,3714
2023-03,ランチ デリバリー,448756,6.7,36,12465
2023-03,アイドルタイム デリバリー,499816,7.4,52,9612
2023-03,ディナー Eat-in,2982891,44.3,293,10181
2023-03,ディナー デリバリー,1933425,28.7,181,10682
2023-04,ランチ Eat-in,1133610,17.3,244,4646
2023-04,ランチ デリバリー,577020,8.8,41,14074
2023-04,アイドルタイム デリバリー,378900,5.8,35,10826
2023-04,ディナー Eat-in,2575762,39.3,237,10868
2023-04,ディナー デリバリー,1892794,28.9,167,11334
2023-05,ランチ Eat-in,851189,13.5,190,4480
2023-05,ランチ デリバリー,695138,11.0,48,14482
2023-05,アイドルタイム デリバリー,392250,6.2,38,10322
2023-05,ディナー Eat-in,2394356,37.9,222,10785
2023-05,ディナー デリバリー,1983770,31.4,166,11950
2023-06,ランチ Eat-in,1059487,16.0,259,4091
2023-06,ランチ デリバリー,437080,6.6,44,9934
2023-06,アイドルタイム デリバリー,698880,10.6,61,11457
2023-06,ディナー Eat-in,2796699,42.3,254,11011
2023-06,ディナー デリバリー,1614734,24.4,147,10985
2023-07,ランチ Eat-in,1235730,12.7,242,5106
2023-07,ランチ デリバリー,1353222,13.9,106,12766
2023-07,アイドルタイム デリバリー,897294,9.2,76,11807
2023-07,ディナー Eat-in,3610882,37.0,336,10747
2023-07,ディナー デリバリー,2665578,27.3,231,11539
2023-08,ランチ Eat-in,1012930,13.4,196,5168
2023-08,ランチ デリバリー,575886,7.6,47,12253
2023-08,アイドルタイム デリバリー,351900,4.7,34,10350
2023-08,ディナー Eat-in,3012606,40.0,259,11632
2023-08,ディナー デリバリー,2581780,34.3,171,15098
2023-09,ランチ Eat-in,1122333,17.4,224,5010
2023-09,ランチ デリバリー,528072,8.2,47,11236
2023-09,アイドルタイム デリバリー,551400,8.5,39,14138
2023-09,ディナー Eat-in,2479425,38.4,233,10641
2023-09,ディナー デリバリー,1777950,27.5,135,13170
2023-10,ランチ Eat-in,927295,15.6,210,4416
2023-10,ランチ デリバリー,480410,8.1,37,12984
2023-10,アイドルタイム デリバリー,455700,7.7,38,11992
2023-10,ディナー Eat-in,2588278,43.6,218,11873
2023-10,ディナー デリバリー,1482940,25.0,130,11407
2023-11,ランチ Eat-in,892490,14.0,202,4418
2023-11,ランチ デリバリー,454240,7.1,28,16223
