year_week,category1,subtotal,quantity,構成比
2026-W09,別天地一推し,111060,39,42.439527685429326
2026-W09,ウィスキー・ジン・リキュール,23380,20,8.934235163743361
2026-W09,ビール・ノンアルコール,20350,25,7.776376628835645
2026-W09,刺身,19840,13,7.581489548702663
2026-W09,野菜,15240,13,5.823684512209103
2026-W09,ワイン,14400,2,5.502694027284191
2026-W09,酒の肴,13830,16,5.284879055370858
2026-W09,プレミア限定酒（日本酒）,10500,3,4.012381061561389
2026-W09,ソフトドリンク,10260,18,3.9206694944399865
2026-W09,温菜・揚げ物,9240,10,3.5308953341740232
2026-W09,日本酒,5100,4,1.948870801329818
2026-W09,サワー,2460,3,0.9400435629943826
2026-W09,果実酒,1770,2,0.6763728075203485
2026-W09,お茶割り,1600,2,0.6114104474760212
2026-W09,焼酎,1430,2,0.546448087431694
2026-W09,甘味,1230,2,0.4700217814971913
2026-W09,飲放　お茶割り,0,25,0.0
2026-W09,飲放　ジン・ハイボール,0,71,0.0
2026-W09,飲放　ジン・ハイボール・サワー,0,13,0.0
2026-W09,飲放　ソフトドリンク,0,21,0.0
2026-W09,飲放　果実酒,0,15,0.0
2026-W09,2H　海老蟹しゃぶしゃぶ 7980,0,24,0.0
2026-W09,2H　黒毛しゃぶしゃぶ 6480,0,21,0.0
2026-W09,インフルエンサー用コース,0,6,0.0
2026-W09,Google口コミ１品サービス,0,1,0.0
2026-W09,3H　黒毛すき焼き 6480,0,55,0.0
2026-W09,3H　黒毛しゃぶしゃぶ 6480,0,6,0.0
2026-W09,3H　鮪ほほステーキ 5480,0,216,0.0
2026-W09,3H　海老蟹しゃぶしゃぶ 7980,0,12,0.0
2026-W09,2H　黒毛ステーキ 7980,0,171,0.0
2026-W09,2H　黒毛すき焼き 6480,0,17,0.0
2026-W09,飲放　焼酎・日本酒,0,38,0.0
