year_week,menu_name,subtotal,quantity,構成比
2026-W09,和牛のしゃぶしゃぶ（一人前）,69600,20,26.59635446520692
2026-W09,海鮮玉手箱（二人前）,22080,8,8.437464175169094
2026-W09,アサヒスーパードライ（生ビール）,15750,21,6.018571592342084
2026-W09,白州,12600,7,4.814857273873668
2026-W09,追加　和牛（一人前　1/2枚×２）,12500,5,4.7766441209064165
2026-W09,鮮魚五点盛り（二人前）,9800,5,3.7448889907906304
2026-W09,ボトル【白】グレイスグリド/甲州,8900,1,3.4009706140853684
2026-W09,海鮮サラダ,8280,6,3.16404906568841
2026-W09,鶏の唐揚げ,7840,8,2.995911192632504
2026-W09,和牛ポテサラ,5880,6,2.246933394474378
2026-W09,ボトル【赤】ドメーヌドグールガゾー/カベルネソーヴィニヨン,5500,1,2.1017234131988234
2026-W09,（１合）田酒　青森県　純米大吟醸　山田錦極醸,5100,1,1.948870801329818
2026-W09,赤星（サッポロラガー） 中瓶,4600,4,1.7578050364935611
2026-W09,からすみ蕎麦しゃぶ（しゃぶしゃぶ注文限定）,4500,5,1.71959188352631
2026-W09,ニッカフロンティア,4080,6,1.5590966410638543
2026-W09,酒の肴三種盛り,3560,2,1.3603882456341472
2026-W09,（１合）新政　秋田県　山吹（タンジェリン）,3500,1,1.3374603538537966
2026-W09,かんぱち,2960,2,1.1311093278306392
2026-W09,鶏皮ポン酢,2920,4,1.1158240666437387
2026-W09,中とろ,2760,2,1.0546830218961367
2026-W09,梅水晶,2720,4,1.0393977607092362
2026-W09,クリームチーズ鮪酒盗,2640,3,1.008827238335435
2026-W09,知多,2600,2,0.9935419771485345
2026-W09,別天地瀬戸内レモンサワー,2460,3,0.9400435629943826
2026-W09,和牛ユッケねぎまみれ,2380,1,0.9094730406205817
2026-W09,サーモン,2360,2,0.9018304100271314
2026-W09,コカ・コーラジュガーゼロ　瓶,2200,4,0.8406893652795292
2026-W09,鮪,1960,2,0.748977798158126
2026-W09,（１合）勝駒　富山県　搾りたて本生,1900,1,0.7260499063777752
2026-W09,（１合）AKABU　岩手県　純米吟醸　フルーティー,1800,1,0.6878367534105239
2026-W09,加賀棒ほうじ茶,1800,3,0.6878367534105239
2026-W09,（グラス）五凛　石川県　純米火入　軽やか豊かな味,1700,2,0.6496236004432726
