日付,コース種別,順位,数量,コースID,コース名,金額
2026/04,食べログネット予約,1,9,-,席のみ,-
2026/04,食べログネット予約,2,9,274571029,【各種120分飲み放題付】チュクミサムギョプサルスタンダードコース◆チュクミサムギョプサルや韓国のり、チヂミ、キンパなどを楽しむ,4950
