日付,コース種別,順位,数量,コースID,コース名,金額
2026/05,食べログネット予約,1,20,-,席のみ,-
2026/05,食べログネット予約,2,5,274571075,【ハイボール、レモンサワー120分飲み放題付】生サムギョプサルライトコース◆サムギョプサルやナムル盛り合わせを楽しむお値打ちなプラン,3630
