曜日,対象週売上,過去4週平均売上,売上差,対象週客数,過去4週平均客数,客数差,対象週1人単価,過去4週平均1人単価,1人単価差,客数要因寄与,客単価要因寄与,検算
月,31360,91766.66666666667,-60406.66666666667,5,11.0,-6.0,6272.0,7276.922514619883,-1004.9225146198833,-40646.76754385965,-8039.380116959066,-48686.147660818715
火,86720,155755.0,-69035.0,14,15.75,-1.75,6194.285714285715,9949.226319875776,-3754.940605590061,-14125.573029891304,-55854.741508152154,-69980.31453804346
水,139360,92050.0,47310.0,18,9.5,8.5,7742.222222222223,9276.447368421053,-1534.2251461988308,72329.34576023392,-21095.595760233922,51233.75
木,171440,171510.0,-70.0,22,19.666666666666668,2.333333333333332,7792.727272727273,8714.023508607688,-921.2962358804152,19257.875911557447,-19193.671580841987,64.20433071545995
金,219210,298432.5,-79222.5,36,26.0,10.0,6089.166666666667,11343.332285622178,-5254.1656189555115,87162.49476144424,-162879.13418762086,-75716.63942617663
土,37360,43892.5,-6532.5,7,5.75,1.25,5337.142857142857,7552.053571428572,-2214.9107142857147,8055.747767857142,-14120.055803571431,-6064.308035714289
